Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,103.48,103.48,0.0,1.0,104.03,102.81,103.43,2277400.0
2017-01-04,104.14,104.14,0.0,1.0,104.37,103.495,103.7431,1712600.0
2017-01-05,105.91,105.91,0.0,1.0,106.02,103.77,104.1344,2504000.0
2017-01-06,108.3,108.3,0.0,1.0,108.43,105.25,105.98,2625600.0
2017-01-09,108.57,108.57,0.0,1.0,108.79,107.56,107.96,2925000.0
2017-01-10,108.26,108.26,0.0,1.0,108.79,107.61,108.57,3081000.0
2017-01-11,108.99,108.99,0.0,1.0,109.0451,108.0,108.23,1784000.0
2017-01-12,108.59,108.59,0.0,1.0,108.74,107.1649,107.99,1617900.0
2017-01-13,108.53,108.53,0.0,1.0,108.9,107.98,108.84,1593500.0
2017-01-17,108.0,108.0,0.0,1.0,108.05,107.06,107.79,1697800.0
2017-01-18,108.79,108.79,0.0,1.0,109.17,107.53,108.5,2536900.0
2017-01-19,109.79,109.79,0.0,1.0,109.98,108.04,108.6209,3090500.0
2017-01-20,110.71,110.71,0.0,1.0,110.81,109.57,110.02,3179200.0
2017-01-23,110.97,110.97,0.0,1.0,111.92,110.3,110.71,2574200.0
2017-01-24,113.72,113.72,0.0,1.0,114.1644,111.34,111.46,3654400.0
2017-01-25,114.25,114.25,0.0,1.0,114.57,113.29,113.77,3919300.0
2017-01-26,112.88,112.88,0.0,1.0,114.44,112.73,113.79,2745200.0
2017-01-27,113.99,113.99,0.0,1.0,114.01,112.7394,113.07,1696800.0
2017-01-30,113.82,113.82,0.0,1.0,113.87,112.26,113.22,2176500.0
2017-01-31,113.38,113.38,0.0,1.0,113.75,112.695,113.22,1716600.0
2017-02-01,113.36,113.36,0.0,1.0,113.64,112.681,113.31,1859100.0
2017-02-02,113.16,113.16,0.0,1.0,113.58,112.27,112.82,1695400.0
2017-02-03,115.17,115.17,0.0,1.0,115.45,113.42,113.55,2507500.0
2017-02-06,114.46,114.46,0.0,1.0,114.825,113.29,114.6724,3067500.0
2017-02-07,114.96,114.96,0.0,1.0,115.19,114.54,114.8299,1643500.0
2017-02-08,116.13,116.13,0.0,1.0,116.38,114.451,115.0,2591700.0
2017-02-09,116.44,116.44,0.0,1.0,116.9,116.02,116.2578,1688900.0
2017-02-10,116.85,116.85,0.0,1.0,116.94,115.03,116.51,2612900.0
2017-02-13,117.65,117.65,0.0,1.0,117.94,116.2009,117.03,1910400.0
2017-02-14,117.58,117.58,0.0,1.0,117.79,116.67,117.65,1556500.0
2017-02-15,118.73,118.73,0.0,1.0,119.09,117.07,117.33,1699600.0
2017-02-16,118.93,118.93,0.0,1.0,119.47,118.47,118.84,1649300.0
2017-02-17,119.67,119.67,0.0,1.0,119.72,118.24,118.79,2143300.0
2017-02-21,119.63,119.63,0.0,1.0,120.169,119.31,119.73,2032300.0
2017-02-22,119.47,119.47,0.0,1.0,119.89,118.85,119.67,1981800.0
2017-02-23,118.83,118.83,0.0,1.0,120.15,118.03,120.1,2381700.0
2017-02-24,119.31,119.31,0.0,1.0,119.32,117.83,118.3,1942500.0
2017-02-27,118.78,118.78,0.0,1.0,119.199,118.07,119.02,1550400.0
2017-02-28,118.34,118.34,0.0,1.0,118.84,118.02,118.83,2008000.0
2017-03-01,120.35,120.35,0.0,1.0,120.57,118.3803,119.24,2356500.0
2017-03-02,119.9,119.9,0.0,1.0,120.12,119.28,120.09,1819700.0
2017-03-03,120.04,120.04,0.0,1.0,120.13,119.48,119.83,1361100.0
2017-03-06,120.15,120.15,0.0,1.0,120.4789,119.37,119.73,1979700.0
2017-03-07,119.98,119.98,0.0,1.0,120.69,119.69,120.0591,1872500.0
2017-03-08,119.6,119.6,0.0,1.0,120.66,119.35,120.21,2962800.0
2017-03-09,119.91,119.91,0.0,1.0,120.26,119.11,119.82,1984200.0
2017-03-10,121.09,121.09,0.0,1.0,121.37,120.241,120.57,2211000.0
2017-03-13,121.8,121.8,0.0,1.0,121.96,120.89,121.11,1805200.0
2017-03-14,121.44,121.44,0.0,1.0,121.99,120.62,121.65,1507500.0
2017-03-15,122.11,122.11,0.0,1.0,122.42,120.9,122.0032,2396300.0
2017-03-16,122.35,122.35,0.0,1.0,123.6,121.525,123.25,4044600.0
2017-03-17,127.01,127.01,0.0,1.0,130.3,126.94,128.45,8749900.0
2017-03-20,126.31,126.31,0.0,1.0,128.09,125.79,126.99,3320900.0
2017-03-21,125.07,125.07,0.0,1.0,127.36,124.96,126.64,3105300.0
2017-03-22,126.21,126.21,0.0,1.0,126.9328,124.51,124.6,3477300.0
2017-03-23,126.87,126.87,0.0,1.0,127.2513,126.01,126.2,2197200.0
2017-03-24,127.7,127.7,0.0,1.0,129.0088,127.05,127.86,3044000.0
2017-03-27,128.25,128.25,0.0,1.0,128.837,126.36,127.48,2424200.0
2017-03-28,128.69,128.69,0.0,1.0,129.28,127.81,127.81,2213000.0
2017-03-29,129.58,129.58,0.0,1.0,129.63,128.2,128.4,2272500.0
2017-03-30,129.61,129.61,0.0,1.0,130.28,129.3,129.55,2204800.0
2017-03-31,130.13,130.13,0.0,1.0,130.69,129.4,129.57,2086400.0
2017-04-03,129.59,129.59,0.0,1.0,130.75,128.88,129.585,2336800.0
2017-04-04,130.04,130.04,0.0,1.0,130.372,129.02,129.47,2026500.0
2017-04-05,129.89,129.89,0.0,1.0,131.33,129.375,130.58,2811600.0
2017-04-06,130.15,130.15,0.0,1.0,130.22,129.16,129.86,1890800.0
2017-04-07,130.22,130.22,0.0,1.0,130.67,129.52,130.15,2287600.0
2017-04-10,130.16,130.16,0.0,1.0,130.38,129.47,130.32,2234900.0
2017-04-11,129.95,129.95,0.0,1.0,130.165,128.21,129.91,2331600.0
2017-04-12,129.38,129.38,0.0,1.0,129.96,128.72,129.96,2106100.0
2017-04-13,129.05,129.05,0.0,1.0,130.42,129.0423,129.63,1815100.0
2017-04-17,129.99,129.99,0.0,1.0,130.363,129.11,129.69,1395300.0
2017-04-18,129.81,129.81,0.0,1.0,130.23,129.48,129.74,1499900.0
2017-04-19,130.22,130.22,0.0,1.0,130.9868,129.82,129.9,2007600.0
2017-04-20,131.42,131.42,0.0,1.0,131.99,130.28,130.7,2004000.0
2017-04-21,131.52,131.52,0.0,1.0,131.97,131.03,131.84,2137100.0
2017-04-24,132.89,132.89,0.0,1.0,133.18,132.17,132.94,1845300.0
2017-04-25,133.49,133.49,0.0,1.0,133.72,132.88,133.44,2504100.0
2017-04-26,132.79,132.79,0.0,1.0,133.8,132.42,133.5,1635900.0
2017-04-27,133.38,133.38,0.0,1.0,134.25,132.76,133.13,1658000.0
2017-04-28,133.74,133.74,0.0,1.0,133.92,132.67,133.4,1749200.0
2017-05-01,135.11,135.11,0.0,1.0,135.34,133.71,134.3,1812000.0
2017-05-02,135.0,135.0,0.0,1.0,135.7,134.75,135.5383,2692200.0
2017-05-03,134.85,134.85,0.0,1.0,135.21,134.38,134.99,1974200.0
2017-05-04,134.61,134.61,0.0,1.0,135.35,134.405,135.13,1810500.0
2017-05-05,134.84,134.84,0.0,1.0,135.19,134.19,135.19,1845500.0
2017-05-08,135.12,135.12,0.0,1.0,135.3817,134.22,135.36,1583100.0
2017-05-09,135.6,135.6,0.0,1.0,135.62,134.8962,135.33,1692700.0
2017-05-10,136.15,136.15,0.0,1.0,136.745,135.51,135.8568,1755400.0
2017-05-11,136.29,136.29,0.0,1.0,136.31,135.3921,135.98,1343900.0
2017-05-12,136.84,136.84,0.0,1.0,137.38,135.885,136.45,1626600.0
2017-05-15,137.6,137.6,0.0,1.0,137.71,136.83,137.13,3210200.0
2017-05-16,138.03,138.03,0.0,1.0,138.382,137.6,138.06,2271800.0
2017-05-17,134.33,134.33,0.0,1.0,137.32,134.24,137.2,3558500.0
2017-05-18,134.54,134.54,0.0,1.0,134.85,130.82,132.77,4158700.0
2017-05-19,136.43,136.43,0.0,1.0,136.61,134.34,135.18,3721700.0
2017-05-22,138.86,138.86,0.0,1.0,139.19,136.58,137.38,2516000.0
2017-05-23,139.52,139.52,0.0,1.0,139.95,138.7,139.16,2123600.0
2017-05-24,141.12,141.12,0.0,1.0,141.25,139.81,140.18,1695100.0
2017-05-25,142.85,142.85,0.0,1.0,143.48,141.8,142.16,1731100.0
2017-05-26,141.89,141.89,0.0,1.0,143.1,141.674,142.93,1604200.0
2017-05-30,142.41,142.41,0.0,1.0,142.56,141.501,141.8157,1540800.0
2017-05-31,141.86,141.86,0.0,1.0,143.19,141.41,143.04,2944400.0
2017-06-01,141.38,141.38,0.0,1.0,142.49,140.93,141.64,2407700.0
2017-06-02,143.48,143.48,0.0,1.0,143.57,141.86,142.12,2885700.0
2017-06-05,143.59,143.59,0.0,1.0,144.34,143.4968,144.14,1847600.0
2017-06-06,143.03,143.03,0.0,1.0,144.17,142.73,143.35,2162700.0
2017-06-07,143.62,143.62,0.0,1.0,143.77,142.45,143.33,1633800.0
2017-06-08,142.63,142.63,0.0,1.0,143.97,141.74,143.96,2811500.0
2017-06-09,138.05,138.05,0.0,1.0,143.585,135.76,143.14,4146200.0
2017-06-12,137.25,137.25,0.0,1.0,138.64,131.2,133.72,6772300.0
2017-06-13,139.09,139.09,0.0,1.0,139.86,138.09,138.79,2871400.0
2017-06-14,138.25,138.25,0.0,1.0,140.848,136.41,139.29,2831100.0
2017-06-15,137.52,137.52,0.0,1.0,137.9,134.45,136.63,2804400.0
2017-06-16,137.84,137.84,0.0,1.0,138.35,136.2997,137.35,4205800.0
2017-06-19,140.35,140.35,0.0,1.0,141.4619,138.635,138.79,4356900.0
2017-06-20,140.91,140.91,0.0,1.0,142.3,140.19,141.21,5454700.0
2017-06-21,144.24,144.24,0.0,1.0,147.45,142.75,145.08,8251900.0
2017-06-22,143.69,143.69,0.0,1.0,145.772,143.66,145.15,3688400.0
2017-06-23,145.41,145.41,0.0,1.0,145.59,143.06,143.75,3419000.0
2017-06-26,144.96,144.96,0.0,1.0,146.89,144.36,146.06,2775500.0
2017-06-27,142.54,142.54,0.0,1.0,144.81,142.537,144.33,3018900.0
2017-06-28,143.81,143.81,0.0,1.0,144.08,141.15,143.01,2507900.0
2017-06-29,141.24,141.24,0.0,1.0,143.2,139.65,143.06,2653900.0
2017-06-30,141.44,141.44,0.0,1.0,142.81,140.74,141.87,2331000.0
2017-07-03,138.41,138.41,0.0,1.0,142.15,138.31,141.73,1786000.0
2017-07-05,141.21,141.21,0.0,1.0,141.9698,138.55,138.65,2229900.0
