Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,27.8299,30.54,0.0,1.0,30.56,30.21,30.37,22370600.0
2017-01-04,27.6644,30.1,0.26,1.0,30.42,30.0199,30.235,22281000.0
2017-01-05,27.7288,30.17,0.0,1.0,30.355,30.07,30.1,18372500.0
2017-01-06,27.7839,30.23,0.0,1.0,30.35,30.03,30.1683,15923200.0
2017-01-09,27.7379,30.18,0.0,1.0,30.329,30.08,30.22,17177800.0
2017-01-10,27.9218,30.38,0.0,1.0,30.55,30.1,30.19,21046000.0
2017-01-11,27.7104,30.15,0.0,1.0,30.41,30.03,30.33,22291300.0
2017-01-12,27.6093,30.04,0.0,1.0,30.155,29.8,30.15,18611100.0
2017-01-13,27.6368,30.07,0.0,1.0,30.22,30.01,30.1,17136600.0
2017-01-17,27.5633,29.99,0.0,1.0,30.25,29.84,30.0,21983500.0
2017-01-18,27.6001,30.03,0.0,1.0,30.18,29.95,30.12,15724000.0
2017-01-19,27.5541,29.98,0.0,1.0,30.19,29.915,30.01,16866000.0
2017-01-20,27.6644,30.1,0.0,1.0,30.25,30.0,30.12,22754400.0
2017-01-23,27.8207,30.27,0.0,1.0,30.3,30.085,30.14,17155300.0
2017-01-24,28.124,30.6,0.0,1.0,30.75,30.29,30.34,24934200.0
2017-01-25,28.2159,30.7,0.0,1.0,31.05,30.65,31.04,23630500.0
2017-01-26,28.2526,30.74,0.0,1.0,30.84,30.56,30.76,20116800.0
2017-01-27,28.4732,30.98,0.0,1.0,30.98,30.63,30.76,18461900.0
2017-01-30,28.3353,30.83,0.0,1.0,30.995,30.63,30.94,15481800.0
2017-01-31,28.2342,30.72,0.0,1.0,30.8877,30.58,30.68,16603100.0
2017-02-01,28.032,30.5,0.0,1.0,30.847,30.42,30.847,19504600.0
2017-02-02,28.657,31.18,0.0,1.0,31.26,30.525,30.69,27456700.0
2017-02-03,28.7857,31.32,0.0,1.0,31.35,31.12,31.27,21288800.0
2017-02-06,28.7673,31.3,0.0,1.0,31.305,31.12,31.29,16774200.0
2017-02-07,28.9052,31.45,0.0,1.0,31.64,31.33,31.38,18420200.0
2017-02-08,28.7397,31.27,0.0,1.0,31.55,31.25,31.46,20434300.0
2017-02-09,28.9511,31.5,0.0,1.0,31.69,31.3,31.35,18706900.0
2017-02-10,28.9603,31.51,0.0,1.0,31.63,31.24,31.48,21557700.0
2017-02-13,29.3831,31.97,0.0,1.0,31.995,31.55,31.67,26518800.0
2017-02-14,29.6956,32.31,0.0,1.0,32.3118,31.77,31.9,31463500.0
2017-02-15,30.1643,32.82,0.0,1.0,32.84,32.29,32.35,41169400.0
2017-02-16,30.8812,33.6,0.0,1.0,33.97,33.25,33.26,50143700.0
