Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,146.9351,167.19,0.0,1.0,167.8625,166.01,167.0,2934300.0
2017-01-04,148.7543,169.26,0.0,1.0,169.87,167.368,167.77,3381400.0
2017-01-05,148.2621,168.7,0.0,1.0,169.39,167.26,169.25,2682300.0
2017-01-06,148.9916,169.53,0.0,1.0,169.92,167.52,168.69,2945500.0
2017-01-09,147.3393,167.65,0.0,1.0,169.8,167.62,169.47,3189900.0
2017-01-10,145.4674,165.52,0.0,1.0,168.09,165.34,167.98,4118700.0
2017-01-11,147.4272,167.75,0.0,1.0,167.76,165.6,166.05,3599500.0
2017-01-12,147.603,167.95,0.0,1.0,168.01,165.56,167.77,2927500.0
2017-01-13,147.0669,167.34,0.0,1.0,168.48,166.88,167.97,2875400.0
2017-01-17,147.5503,167.89,0.0,1.0,168.18,166.12,166.6941,3315700.0
2017-01-18,146.5923,166.8,0.0,1.0,168.59,166.69,167.45,4007800.0
2017-01-19,146.6011,166.81,0.0,1.0,167.45,165.809,166.96,6963400.0
2017-01-20,149.888,170.55,0.0,1.0,170.64,166.0,167.81,12690000.0
2017-01-23,150.3099,171.03,0.0,1.0,171.25,170.01,170.08,5478200.0
2017-01-24,154.5899,175.9,0.0,1.0,176.0,171.16,171.36,6952400.0
2017-01-25,156.6903,178.29,0.0,1.0,179.25,176.13,176.26,5922500.0
2017-01-26,157.0155,178.66,0.0,1.0,178.88,177.51,178.06,3063900.0
2017-01-27,155.8202,177.3,0.0,1.0,179.2,177.2918,178.47,3482300.0
2017-01-30,154.502,175.8,0.0,1.0,177.07,174.58,176.98,4094800.0
2017-01-31,153.3771,174.52,0.0,1.0,175.58,173.61,175.05,4139000.0
2017-02-01,153.1749,174.29,0.0,1.0,175.7,172.8779,175.0,2795700.0
2017-02-02,153.4298,174.58,0.0,1.0,174.97,173.55,174.23,2620500.0
2017-02-03,154.5195,175.82,0.0,1.0,176.34,174.89,175.0,3309300.0
2017-02-06,154.5547,175.86,0.0,1.0,175.98,174.38,175.31,2650800.0
2017-02-07,156.8397,178.46,0.0,1.0,178.62,175.9,176.0,3873500.0
2017-02-08,156.0514,176.17,1.4,1.0,177.5,175.88,177.5,2913100.0
