Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,103.4719,105.39,0.0,1.0,105.94,104.11,104.41,4711300.0
2017-01-04,104.4537,106.39,0.0,1.0,106.7421,104.86,105.34,3299000.0
2017-01-05,105.2604,106.99,0.22,1.0,108.15,106.46,107.05,3262200.0
2017-01-06,106.018,107.76,0.0,1.0,108.11,106.87,107.32,3044600.0
2017-01-09,105.8114,107.55,0.0,1.0,108.15,107.31,107.76,2500700.0
2017-01-10,105.5851,107.32,0.0,1.0,108.57,106.92,107.55,3162200.0
2017-01-11,106.0672,107.81,0.0,1.0,107.85,106.83,107.04,2499000.0
2017-01-12,106.9526,108.71,0.0,1.0,108.86,107.31,107.67,3288500.0
2017-01-13,106.9428,108.7,0.0,1.0,109.4,108.53,108.63,4661900.0
2017-01-17,106.6476,108.4,0.0,1.0,108.86,107.61,108.23,2898200.0
2017-01-18,106.9034,108.66,0.0,1.0,109.22,107.91,108.71,2652300.0
2017-01-19,106.7755,108.53,0.0,1.0,109.372,108.33,108.84,1885300.0
2017-01-20,108.1824,109.96,0.0,1.0,110.0,108.91,109.24,4173300.0
2017-01-23,107.8577,109.63,0.0,1.0,109.98,109.13,109.66,3678200.0
2017-01-24,108.143,109.92,0.0,1.0,110.13,109.1791,109.81,2899600.0
2017-01-25,108.4087,110.19,0.0,1.0,111.0718,109.4,110.66,3848300.0
2017-01-26,107.6118,109.38,0.0,1.0,110.32,109.0,109.97,2568700.0
2017-01-27,108.0643,109.84,0.0,1.0,109.84,108.92,109.57,2591600.0
2017-01-30,107.5331,109.3,0.0,1.0,109.56,108.1,109.37,4304400.0
2017-01-31,104.6111,106.33,0.0,1.0,107.1,105.5,105.97,6470200.0
2017-02-01,103.3026,105.0,0.0,1.0,106.75,104.01,106.63,6149100.0
2017-02-02,103.4403,105.14,0.0,1.0,105.49,104.61,104.92,4112000.0
2017-02-03,104.857,106.58,0.0,1.0,107.5357,105.6,106.31,7132600.0
2017-02-06,104.8669,106.59,0.0,1.0,106.62,105.69,106.58,3445100.0
2017-02-07,104.8767,106.6,0.0,1.0,107.15,106.04,107.0,3204800.0
2017-02-08,104.9948,106.72,0.0,1.0,106.9,105.8,106.55,2993600.0
2017-02-09,105.5654,107.3,0.0,1.0,107.54,106.5,106.73,2679200.0
2017-02-10,105.5359,107.27,0.0,1.0,107.64,107.2006,107.55,2078400.0
2017-02-13,106.5295,108.28,0.0,1.0,108.33,107.54,107.7,2337100.0
2017-02-14,107.1199,108.88,0.0,1.0,109.21,107.76,108.01,2336800.0
2017-02-15,107.8872,109.66,0.0,1.0,110.06,108.77,109.0,2920000.0
2017-02-16,107.5331,109.3,0.0,1.0,110.2,108.885,109.75,2146400.0
2017-02-17,107.6511,109.42,0.0,1.0,110.0,108.98,109.2354,2850900.0
2017-02-21,108.3792,110.16,0.0,1.0,110.24,109.34,109.45,3117200.0
2017-02-22,107.6708,109.44,0.0,1.0,110.41,109.16,109.8,3049300.0
2017-02-23,108.9498,110.74,0.0,1.0,110.75,109.6,109.83,4162200.0
2017-02-24,109.2056,111.0,0.0,1.0,111.0,110.2,110.54,2471700.0
2017-02-27,108.7825,110.57,0.0,1.0,110.99,109.76,110.4,2361200.0
2017-02-28,108.6743,110.46,0.0,1.0,110.87,109.99,110.5,3367200.0
2017-03-01,110.4944,112.31,0.0,1.0,112.92,110.78,111.42,3218700.0
2017-03-02,109.5303,111.33,0.0,1.0,112.2805,111.3,112.2,2690800.0
2017-03-03,109.9336,111.74,0.0,1.0,111.84,110.96,111.29,2938200.0
2017-03-06,109.5598,111.36,0.0,1.0,111.79,111.01,111.14,2175800.0
2017-03-07,109.1662,110.96,0.0,1.0,111.7,110.74,111.37,2474200.0
2017-03-08,109.1859,110.98,0.0,1.0,111.45,110.79,111.29,2355400.0
2017-03-09,108.999,110.79,0.0,1.0,111.37,110.645,111.08,3195400.0
2017-03-10,109.4122,111.21,0.0,1.0,111.55,110.61,111.45,2735400.0
2017-03-13,109.727,111.53,0.0,1.0,111.8,111.13,111.29,3123000.0
2017-03-14,108.7038,110.49,0.0,1.0,111.4705,110.13,111.33,2891400.0
2017-03-15,110.2091,112.02,0.0,1.0,112.417,110.49,111.06,3305500.0
2017-03-16,110.8486,112.67,0.0,1.0,112.97,111.583,112.11,2746400.0
2017-03-17,111.006,112.83,0.0,1.0,113.5,112.76,112.85,4119200.0
2017-03-20,110.5928,112.41,0.0,1.0,112.99,111.85,112.82,2435400.0
2017-03-21,108.9203,110.71,0.0,1.0,112.77,110.43,112.41,3734000.0
2017-03-22,109.6483,111.45,0.0,1.0,111.91,110.79,110.9876,2576200.0
2017-03-23,109.7959,111.6,0.0,1.0,112.45,111.27,111.31,3107000.0
2017-03-24,110.1697,111.98,0.0,1.0,112.47,111.67,111.97,3221900.0
2017-03-27,110.1304,111.94,0.0,1.0,112.3,110.33,110.7,2724200.0
2017-03-28,110.6518,112.47,0.0,1.0,112.75,111.47,111.81,2986100.0
2017-03-29,110.2485,112.06,0.0,1.0,112.325,111.52,112.03,1783800.0
2017-03-30,110.8486,112.67,0.0,1.0,112.7,111.57,111.9922,2029400.0
2017-03-31,110.6518,112.47,0.0,1.0,113.18,112.44,112.62,2507700.0
2017-04-03,110.4255,112.24,0.0,1.0,112.97,111.36,112.7,3170100.0
2017-04-04,110.278,112.09,0.0,1.0,112.85,111.9,112.23,2169700.0
2017-04-05,110.4751,112.07,0.22,1.0,113.18,111.9,112.25,2486600.0
2017-04-06,110.83,112.43,0.0,1.0,112.61,111.71,112.34,2238500.0
2017-04-07,110.6427,112.24,0.0,1.0,112.7456,111.84,112.18,1995100.0
2017-04-10,110.7216,112.32,0.0,1.0,113.07,112.29,112.29,1862800.0
2017-04-11,110.5145,112.11,0.0,1.0,112.57,111.47,111.9,2045800.0
2017-04-12,109.8837,111.47,0.0,1.0,112.3,111.35,111.6531,2651200.0
2017-04-13,109.6372,111.22,0.0,1.0,112.19,111.01,111.23,2690300.0
2017-04-17,111.0666,112.67,0.0,1.0,112.74,111.53,111.77,1731200.0
2017-04-18,110.9187,112.52,0.0,1.0,113.17,112.1,112.49,2141000.0
2017-04-19,110.692,112.29,0.0,1.0,113.16,112.11,112.4946,2242400.0
2017-04-20,112.9593,114.59,0.0,1.0,114.9,112.67,112.9,3459600.0
2017-04-21,112.6438,114.27,0.0,1.0,115.61,114.01,114.8,4067400.0
2017-04-24,114.0534,115.7,0.0,1.0,115.9913,115.0,115.8,3207800.0
2017-04-25,114.4773,116.13,0.0,1.0,116.48,115.89,116.35,2873700.0
2017-04-26,114.5168,116.17,0.0,1.0,116.56,115.95,116.05,2202700.0
2017-04-27,115.4335,117.1,0.0,1.0,117.31,116.12,116.51,3350800.0
2017-04-28,114.6646,116.32,0.0,1.0,117.37,116.07,116.79,3536000.0
2017-05-01,114.7139,116.37,0.0,1.0,117.29,116.22,116.54,3556600.0
2017-05-02,116.439,118.12,0.0,1.0,119.71,117.65,117.83,6802600.0
2017-05-03,115.6602,117.33,0.0,1.0,118.525,116.55,118.17,3640900.0
2017-05-04,116.2419,117.92,0.0,1.0,118.08,116.9,117.55,2560400.0
2017-05-05,115.8278,117.5,0.0,1.0,118.38,117.2118,118.27,2335900.0
2017-05-08,114.9505,116.61,0.0,1.0,117.71,116.39,117.71,2562400.0
2017-05-09,114.7533,116.41,0.0,1.0,116.913,116.04,116.63,2350700.0
2017-05-10,114.9899,116.65,0.0,1.0,116.77,116.01,116.11,1812500.0
2017-05-11,114.8717,116.53,0.0,1.0,116.88,115.78,116.58,2239000.0
2017-05-12,115.4631,117.13,0.0,1.0,117.22,116.15,116.33,3195200.0
2017-05-15,116.5277,118.21,0.0,1.0,118.56,117.09,117.36,2998200.0
2017-05-16,116.8037,118.49,0.0,1.0,118.565,117.7,118.26,2375700.0
2017-05-17,115.1378,116.8,0.0,1.0,117.91,116.65,117.29,4195000.0
2017-05-18,114.5858,116.24,0.0,1.0,116.65,115.55,115.93,5088400.0
2017-05-19,115.9067,117.58,0.0,1.0,117.89,116.51,116.92,4360500.0
2017-05-22,117.3065,119.0,0.0,1.0,119.1,117.58,117.8,2578200.0
2017-05-23,117.898,119.6,0.0,1.0,119.93,118.974,119.04,2857100.0
2017-05-24,118.9823,120.7,0.0,1.0,120.72,119.53,119.6,2509000.0
2017-05-25,120.1849,121.92,0.0,1.0,122.48,120.95,121.02,4689200.0
2017-05-26,119.8991,121.63,0.0,1.0,122.0737,121.32,121.91,2141600.0
2017-05-30,119.9188,121.65,0.0,1.0,121.79,121.0304,121.29,3405500.0
2017-05-31,121.1313,122.88,0.0,1.0,122.98,121.15,121.9,4708500.0
2017-06-01,121.6439,123.4,0.0,1.0,123.4,122.11,122.8,3279000.0
2017-06-02,123.4183,125.2,0.0,1.0,125.3,123.35,123.39,3731900.0
2017-06-05,124.1083,125.9,0.0,1.0,126.19,125.25,125.54,4617400.0
2017-06-06,123.4577,125.24,0.0,1.0,125.94,124.9798,125.54,2712100.0
2017-06-07,123.4084,125.19,0.0,1.0,125.88,124.77,125.48,3219700.0
