Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,59.4966,62.58,0.0,1.0,62.84,62.125,62.79,20694100.0
2017-01-04,59.2304,62.3,0.0,1.0,62.75,62.12,62.48,21340000.0
2017-01-05,59.2304,62.3,0.0,1.0,62.66,62.03,62.19,24876000.0
2017-01-06,59.7438,62.84,0.0,1.0,63.15,62.04,62.3,19922900.0
2017-01-09,59.5536,62.64,0.0,1.0,63.08,62.54,62.76,20382700.0
2017-01-10,59.5346,62.62,0.0,1.0,63.07,62.28,62.731,18593000.0
2017-01-11,60.0765,63.19,0.0,1.0,63.23,62.43,62.61,21517300.0
2017-01-12,59.5251,62.61,0.0,1.0,63.396,61.95,63.06,20968200.0
2017-01-13,59.6107,62.7,0.0,1.0,62.865,62.35,62.62,19422300.0
2017-01-17,59.449,62.53,0.0,1.0,62.7,62.0272,62.68,20664000.0
2017-01-18,59.4205,62.5,0.0,1.0,62.7,62.12,62.6702,19670100.0
2017-01-19,59.2304,62.3,0.0,1.0,62.98,62.195,62.24,18451700.0
2017-01-20,59.6487,62.74,0.0,1.0,62.82,62.37,62.67,30213500.0
2017-01-23,59.8578,62.96,0.0,1.0,63.116,62.5695,62.7,23097600.0
2017-01-24,60.3903,63.52,0.0,1.0,63.735,62.94,63.2,24672900.0
2017-01-25,60.5424,63.68,0.0,1.0,64.1,63.45,63.95,23672700.0
2017-01-26,61.1033,64.27,0.0,1.0,64.535,63.55,64.12,43554600.0
2017-01-27,62.5389,65.78,0.0,1.0,65.91,64.89,65.39,44818000.0
2017-01-30,61.9209,65.13,0.0,1.0,65.79,64.8,65.69,31651400.0
2017-01-31,61.4646,64.65,0.0,1.0,65.15,64.26,64.86,25270500.0
2017-02-01,60.4473,63.58,0.0,1.0,64.62,63.47,64.355,39671500.0
2017-02-02,60.0575,63.17,0.0,1.0,63.41,62.75,63.2454,45827000.0
2017-02-03,60.5424,63.68,0.0,1.0,63.7,63.07,63.5,30301800.0
2017-02-06,60.5043,63.64,0.0,1.0,63.65,63.14,63.5,19796400.0
2017-02-07,60.3047,63.43,0.0,1.0,63.78,63.23,63.74,20277200.0
2017-02-08,60.2191,63.34,0.0,1.0,63.81,63.22,63.57,18096400.0
2017-02-09,60.9037,64.06,0.0,1.0,64.435,63.32,63.52,22644400.0
2017-02-10,60.8466,64.0,0.0,1.0,64.3,63.975,64.25,18170700.0
2017-02-13,61.5311,64.72,0.0,1.0,64.86,64.13,64.24,22920100.0
2017-02-14,61.7607,64.57,0.39,1.0,64.72,64.02,64.41,23108400.0
2017-02-15,61.7224,64.53,0.0,1.0,64.57,64.155,64.5,17005200.0
2017-02-16,61.7129,64.52,0.0,1.0,65.24,64.44,64.74,20546300.0
2017-02-17,61.8085,64.62,0.0,1.0,64.6845,64.3,64.47,21248800.0
2017-02-21,61.6842,64.49,0.0,1.0,64.9477,64.45,64.61,20655900.0
2017-02-22,61.5598,64.36,0.0,1.0,64.39,64.051,64.33,19292700.0
2017-02-23,61.8085,64.62,0.0,1.0,64.728,64.1949,64.42,20273100.0
2017-02-24,61.8085,64.62,0.0,1.0,64.8,64.1375,64.53,21796800.0
2017-02-27,61.4355,64.23,0.0,1.0,64.54,64.045,64.54,15871500.0
2017-02-28,61.1964,63.98,0.0,1.0,64.2,63.76,64.08,23239800.0
2017-03-01,62.1146,64.94,0.0,1.0,64.99,64.022,64.13,26937500.0
2017-03-02,61.2251,64.01,0.0,1.0,64.75,63.88,64.69,24539600.0
2017-03-03,61.4546,64.25,0.0,1.0,64.28,63.62,63.99,18135900.0
2017-03-06,61.4737,64.27,0.0,1.0,64.56,63.81,63.97,18750300.0
2017-03-07,61.5981,64.4,0.0,1.0,64.775,64.19,64.19,18521000.0
2017-03-08,62.1624,64.99,0.0,1.0,65.085,64.25,64.26,21510900.0
2017-03-09,61.9137,64.73,0.0,1.0,65.2,64.48,65.19,19846800.0
2017-03-10,62.105,64.93,0.0,1.0,65.26,64.75,65.11,19538200.0
2017-03-13,61.8946,64.71,0.0,1.0,65.195,64.57,65.01,20100000.0
2017-03-14,61.6077,64.41,0.0,1.0,64.55,64.15,64.53,14280200.0
2017-03-15,61.9329,64.75,0.0,1.0,64.92,64.25,64.5485,24833800.0
2017-03-16,61.8276,64.64,0.0,1.0,64.76,64.3,64.7467,20674300.0
2017-03-17,62.0476,64.87,0.0,1.0,65.24,64.68,64.91,49219700.0
2017-03-20,62.105,64.93,0.0,1.0,65.175,64.72,64.91,14598100.0
2017-03-21,61.4164,64.21,0.0,1.0,65.5,64.13,65.19,26640500.0
2017-03-22,62.2007,65.03,0.0,1.0,65.14,64.12,64.12,20680000.0
2017-03-23,62.0476,64.87,0.0,1.0,65.235,64.765,64.94,19269200.0
2017-03-24,62.1529,64.98,0.0,1.0,65.45,64.76,65.12,22617100.0
2017-03-27,62.2676,65.1,0.0,1.0,65.22,64.35,64.63,18614700.0
2017-03-28,62.4494,65.29,0.0,1.0,65.47,64.65,64.96,20080400.0
2017-03-29,62.6215,65.47,0.0,1.0,65.5,64.948,65.12,13618400.0
2017-03-30,62.8511,65.71,0.0,1.0,65.98,65.36,65.42,15122800.0
2017-03-31,62.9946,65.86,0.0,1.0,66.19,65.45,65.65,21040300.0
2017-04-03,62.698,65.55,0.0,1.0,65.94,65.19,65.81,20400900.0
2017-04-04,62.8702,65.73,0.0,1.0,65.81,65.28,65.39,12997400.0
2017-04-05,62.7076,65.56,0.0,1.0,66.35,65.444,66.3,21448600.0
2017-04-06,62.8702,65.73,0.0,1.0,66.055,65.48,65.6,18103500.0
2017-04-07,62.8224,65.68,0.0,1.0,65.96,65.44,65.85,14108500.0
2017-04-10,62.6789,65.53,0.0,1.0,65.82,65.36,65.61,17952700.0
2017-04-11,62.6311,65.48,0.0,1.0,65.61,64.85,65.6,18791500.0
2017-04-12,62.392,65.23,0.0,1.0,65.51,65.11,65.42,17108500.0
2017-04-13,62.1241,64.95,0.0,1.0,65.86,64.95,65.29,17896500.0
2017-04-17,62.6311,65.48,0.0,1.0,65.49,65.01,65.04,16689300.0
2017-04-18,62.545,65.39,0.0,1.0,65.71,65.16,65.33,15155600.0
2017-04-19,62.2102,65.04,0.0,1.0,65.75,64.89,65.65,26992800.0
2017-04-20,62.6502,65.5,0.0,1.0,65.75,65.1395,65.46,22299500.0
2017-04-21,63.5111,66.4,0.0,1.0,66.7,65.45,65.6731,32522600.0
2017-04-24,64.5919,67.53,0.0,1.0,67.66,67.1,67.48,29770000.0
2017-04-25,64.9649,67.92,0.0,1.0,68.04,67.6,67.9,30242700.0
2017-04-26,64.8789,67.83,0.0,1.0,68.31,67.62,68.08,26190800.0
2017-04-27,65.2997,68.27,0.0,1.0,68.38,67.5779,68.15,34971000.0
2017-04-28,65.4814,68.46,0.0,1.0,69.1364,67.69,68.91,39548800.0
2017-05-01,66.3901,69.41,0.0,1.0,69.55,68.5,68.68,31954400.0
2017-05-02,66.2849,69.3,0.0,1.0,69.71,69.13,69.71,23906100.0
2017-05-03,66.0745,69.08,0.0,1.0,69.38,68.71,69.38,28928000.0
2017-05-04,65.8162,68.81,0.0,1.0,69.08,68.64,69.03,21749400.0
2017-05-05,65.9979,69.0,0.0,1.0,69.03,68.485,68.9,19128800.0
2017-05-08,65.9406,68.94,0.0,1.0,69.05,68.42,68.97,18566100.0
2017-05-09,66.0362,69.04,0.0,1.0,69.28,68.68,68.86,22858400.0
2017-05-10,66.2945,69.31,0.0,1.0,69.56,68.92,68.99,17977800.0
2017-05-11,65.4814,68.46,0.0,1.0,68.73,68.12,68.36,28789400.0
2017-05-12,65.4049,68.38,0.0,1.0,68.61,68.0437,68.61,18714100.0
2017-05-15,65.4527,68.43,0.0,1.0,68.48,67.57,68.14,31530300.0
2017-05-16,66.7707,69.41,0.39,1.0,69.44,68.16,68.23,34956000.0
2017-05-17,64.914,67.48,0.0,1.0,69.1,67.43,68.8855,30548800.0
2017-05-18,65.1353,67.71,0.0,1.0,68.13,67.14,67.4,25201300.0
2017-05-19,65.1161,67.69,0.0,1.0,68.095,67.4382,67.5,26961100.0
2017-05-22,65.8471,68.45,0.0,1.0,68.5097,67.5,67.89,16237600.0
2017-05-23,66.0684,68.68,0.0,1.0,68.75,68.38,68.72,15425800.0
2017-05-24,66.155,68.77,0.0,1.0,68.88,68.45,68.87,14593900.0
2017-05-25,66.9727,69.62,0.0,1.0,69.88,68.9077,68.97,21854100.0
2017-05-26,67.2997,69.96,0.0,1.0,70.22,69.52,69.8,19827900.0
2017-05-30,67.7326,70.41,0.0,1.0,70.41,69.77,69.79,17072800.0
2017-05-31,67.1843,69.84,0.0,1.0,70.74,69.81,70.53,30436400.0
2017-06-01,67.4344,70.1,0.0,1.0,70.61,69.451,70.24,21603600.0
2017-06-02,69.0313,71.76,0.0,1.0,71.86,70.24,70.44,34770300.0
2017-06-05,69.5315,72.28,0.0,1.0,72.89,71.81,71.97,33316800.0
2017-06-06,69.7624,72.52,0.0,1.0,72.62,72.27,72.3,31511100.0
2017-06-07,69.6373,72.39,0.0,1.0,72.77,71.95,72.635,22301800.0
2017-06-08,69.2141,71.95,0.0,1.0,72.52,71.5,72.51,24588300.0
2017-06-09,67.646,70.32,0.0,1.0,72.08,68.5915,72.035,49187400.0
2017-06-12,67.1266,69.78,0.0,1.0,69.94,68.13,69.25,47761700.0
2017-06-13,67.9635,70.65,0.0,1.0,70.82,69.96,70.02,25258600.0
2017-06-14,67.5979,70.27,0.0,1.0,71.1,69.43,70.91,25510700.0
2017-06-15,67.242,69.9,0.0,1.0,70.21,68.8,69.2619,26068700.0
2017-06-16,67.3382,70.0,0.0,1.0,70.025,69.22,69.73,48345100.0
2017-06-19,68.1751,70.87,0.0,1.0,70.945,70.3521,70.5,23798300.0
2017-06-20,67.2516,69.91,0.0,1.0,70.868,69.87,70.82,21512200.0
2017-06-21,67.5979,70.27,0.0,1.0,70.62,69.94,70.21,19891100.0
2017-06-22,67.5883,70.26,0.0,1.0,70.5864,69.71,70.54,22965700.0
2017-06-23,68.5022,71.21,0.0,1.0,71.25,69.92,70.09,27617300.0
2017-06-26,67.8481,70.53,0.0,1.0,71.71,70.4492,71.4,19607000.0
2017-06-27,66.5783,69.21,0.0,1.0,70.18,69.18,70.112,25215100.0
2017-06-28,67.1458,69.8,0.0,1.0,69.841,68.79,69.21,25806200.0
2017-06-29,65.8857,68.49,0.0,1.0,69.49,68.09,69.38,28918700.0
2017-06-30,66.3089,68.93,0.0,1.0,69.38,68.74,68.7867,24161100.0
2017-07-03,65.5778,68.17,0.0,1.0,69.6,68.02,69.33,16165500.0
2017-07-05,66.4532,69.08,0.0,1.0,69.44,68.22,68.255,21176300.0
2017-07-06,65.9626,68.57,0.0,1.0,68.78,68.12,68.27,21117600.0
2017-07-07,66.8188,69.46,0.0,1.0,69.8394,68.7,68.7,16878300.0
2017-07-10,67.319,69.98,0.0,1.0,70.25,69.2,69.46,15014500.0
2017-07-11,67.3286,69.99,0.0,1.0,70.68,69.75,70.0,17460000.0
2017-07-12,68.4445,71.15,0.0,1.0,71.2837,70.55,70.69,17750900.0
2017-07-13,69.0409,71.77,0.0,1.0,72.04,71.31,71.5,20269800.0
2017-07-14,70.0125,72.78,0.0,1.0,73.27,71.96,72.24,25868100.0
2017-07-17,70.5608,73.35,0.0,1.0,73.45,72.72,72.8,21803900.0
2017-07-18,70.5127,73.3,0.0,1.0,73.39,72.66,73.09,26435300.0
2017-07-19,71.0514,73.86,0.0,1.0,74.04,73.45,73.5,22416200.0
2017-07-20,71.3978,74.22,0.0,1.0,74.3,73.28,74.18,42361000.0
2017-07-21,70.9841,73.79,0.0,1.0,74.29,73.17,73.45,46717100.0
2017-07-24,70.8013,73.6,0.0,1.0,73.75,73.13,73.53,21394800.0
2017-07-25,71.3689,74.19,0.0,1.0,74.31,73.5,73.8,22018700.0
2017-07-26,71.2342,74.05,0.0,1.0,74.38,73.81,74.34,16252200.0
2017-07-27,70.3781,73.16,0.0,1.0,74.42,72.32,73.76,36844200.0
2017-07-28,70.2626,73.04,0.0,1.0,73.31,72.54,72.67,18306700.0
2017-07-31,69.9356,72.7,0.0,1.0,73.44,72.41,73.3,23600100.0
2017-08-01,69.8201,72.58,0.0,1.0,73.42,72.49,73.0925,22132300.0
2017-08-02,69.5123,72.26,0.0,1.0,72.56,71.445,72.55,26499200.0
2017-08-03,69.4065,72.15,0.0,1.0,72.44,71.845,72.19,18214400.0
2017-08-04,69.9163,72.68,0.0,1.0,73.04,72.24,72.4,22579000.0
2017-08-07,69.647,72.4,0.0,1.0,72.9,72.26,72.8,18705700.0
2017-08-08,70.0221,72.79,0.0,1.0,73.13,71.75,72.09,22044600.0
2017-08-09,69.7143,72.47,0.0,1.0,72.51,72.05,72.25,22213400.0
2017-08-10,68.6946,71.41,0.0,1.0,72.19,71.35,71.9,24734500.0
2017-08-11,69.7431,72.5,0.0,1.0,72.7,71.28,71.61,21443700.0
2017-08-14,70.7917,73.59,0.0,1.0,73.72,72.95,73.06,20096600.0
