Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,47.4067,49.99,0.0,1.0,50.27,49.63,49.83,7737500.0
2017-01-04,48.099,50.72,0.0,1.0,50.81,50.19,50.19,4542300.0
2017-01-05,47.9567,50.57,0.0,1.0,50.85,50.4,50.66,3903000.0
2017-01-06,48.0041,50.62,0.0,1.0,50.66,50.333,50.57,2947100.0
2017-01-09,47.9947,50.61,0.0,1.0,51.09,50.53,50.58,7100600.0
2017-01-10,48.0231,50.64,0.0,1.0,50.83,50.421,50.64,2844200.0
2017-01-11,48.4119,51.05,0.0,1.0,51.075,50.55,50.55,6599900.0
2017-01-12,48.3171,50.95,0.0,1.0,51.05,50.63,51.05,3156000.0
2017-01-13,48.2412,50.87,0.0,1.0,51.01,50.74,50.96,2448400.0
2017-01-17,48.0231,50.64,0.0,1.0,50.86,50.48,50.74,3681700.0
2017-01-18,48.3266,50.96,0.0,1.0,51.01,50.61,50.78,3036700.0
2017-01-19,48.0231,50.64,0.0,1.0,51.13,50.45,51.02,3303200.0
2017-01-20,48.4499,51.09,0.0,1.0,51.175,50.78,50.82,5006900.0
2017-01-23,48.5447,51.19,0.0,1.0,51.27,50.895,51.09,4161100.0
2017-01-24,49.7965,52.51,0.0,1.0,52.63,51.38,51.38,7981000.0
2017-01-25,50.1284,52.86,0.0,1.0,52.91,52.4,52.73,8220900.0
2017-01-26,50.2612,53.0,0.0,1.0,53.26,52.74,52.87,5320600.0
2017-01-27,50.081,52.81,0.0,1.0,52.97,52.7,52.87,4652600.0
2017-01-30,49.5689,52.27,0.0,1.0,52.62,52.047,52.6225,6043100.0
2017-01-31,49.2749,51.96,0.0,1.0,52.29,51.75,52.25,5526700.0
2017-02-01,49.5215,52.22,0.0,1.0,52.32,51.785,51.94,10074900.0
2017-02-02,49.3034,51.99,0.0,1.0,52.2,51.81,52.2,5065700.0
2017-02-03,49.3887,52.08,0.0,1.0,52.156,51.91,52.07,5541800.0
2017-02-06,49.2559,51.94,0.0,1.0,52.01,51.72,51.96,2722600.0
2017-02-07,48.8671,51.53,0.0,1.0,51.88,51.4508,51.8,4200800.0
2017-02-08,48.9809,51.65,0.0,1.0,51.67,51.33,51.5,4689200.0
2017-02-09,48.962,51.63,0.0,1.0,51.79,51.52,51.67,8117400.0
