Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,22.3628,23.51,0.0,1.0,23.67,23.26,23.61,71259900.0
2017-01-04,22.5435,23.7,0.0,1.0,23.73,23.51,23.58,45092200.0
2017-01-05,22.3152,23.46,0.0,1.0,23.655,23.24,23.63,62201100.0
2017-01-06,22.3913,23.54,0.0,1.0,23.64,23.42,23.55,38060800.0
2017-01-09,22.2391,23.38,0.0,1.0,23.526,23.33,23.48,34022400.0
2017-01-10,22.2867,23.43,0.0,1.0,23.63,23.31,23.42,46212100.0
2017-01-11,22.4294,23.58,0.0,1.0,23.58,23.3,23.46,48001200.0
2017-01-12,22.2391,23.38,0.0,1.0,23.5,23.18,23.47,57418100.0
2017-01-13,22.3628,23.51,0.0,1.0,23.79,23.41,23.54,72479700.0
2017-01-17,21.8301,22.95,0.0,1.0,23.3491,22.94,23.34,96657800.0
2017-01-18,22.0108,23.14,0.0,1.0,23.17,22.85,23.07,68289100.0
2017-01-19,21.9157,23.04,0.0,1.0,23.25,22.96,23.19,56729700.0
2017-01-20,22.0204,23.15,0.0,1.0,23.23,23.03,23.1092,74805200.0
2017-01-23,21.8777,23.0,0.0,1.0,23.19,22.92,23.05,46651200.0
2017-01-24,22.1535,23.29,0.0,1.0,23.38,23.01,23.1121,45229500.0
2017-01-25,22.5245,23.68,0.0,1.0,23.69,23.43,23.54,92850100.0
2017-01-26,22.5816,23.74,0.0,1.0,23.8,23.611,23.72,70704400.0
2017-01-27,22.4959,23.65,0.0,1.0,23.75,23.58,23.74,43944500.0
2017-01-30,22.3152,23.46,0.0,1.0,23.505,23.25,23.4985,46168800.0
2017-01-31,22.1725,23.31,0.0,1.0,23.52,23.18,23.34,56477300.0
2017-02-01,22.2011,23.34,0.0,1.0,23.61,23.27,23.49,72132200.0
2017-02-02,22.1155,23.25,0.0,1.0,23.36,23.1,23.21,39396500.0
2017-02-03,22.5625,23.72,0.0,1.0,23.74,23.44,23.65,86346600.0
2017-02-06,22.4579,23.61,0.0,1.0,23.78,23.56,23.58,34952100.0
2017-02-07,22.4008,23.55,0.0,1.0,23.76,23.52,23.75,50838500.0
2017-02-08,22.2486,23.39,0.0,1.0,23.48,23.28,23.48,54341100.0
2017-02-09,22.553,23.71,0.0,1.0,23.74,23.33,23.4596,76813700.0
2017-02-10,22.6196,23.78,0.0,1.0,23.86,23.69,23.85,55078700.0
2017-02-13,22.8764,24.05,0.0,1.0,24.16,23.89,23.93,76687000.0
2017-02-14,23.1428,24.33,0.0,1.0,24.36,23.99,24.03,75954300.0
2017-02-15,23.3235,24.52,0.0,1.0,24.5713,24.265,24.45,76869400.0
2017-02-16,23.2664,24.46,0.0,1.0,24.53,24.31,24.49,64048200.0
2017-02-17,23.2759,24.47,0.0,1.0,24.47,24.25,24.28,54156600.0
2017-02-21,23.3901,24.59,0.0,1.0,24.65,24.5118,24.6,55216100.0
2017-02-22,23.4091,24.61,0.0,1.0,24.678,24.45,24.49,50438900.0
2017-02-23,23.4091,24.61,0.0,1.0,24.67,24.47,24.62,53509400.0
2017-02-24,23.2284,24.42,0.0,1.0,24.48,24.31,24.35,61686800.0
2017-02-27,23.352,24.55,0.0,1.0,24.6,24.44,24.4493,39655000.0
2017-02-28,23.3425,24.54,0.0,1.0,24.55,24.38,24.46,48913000.0
2017-03-01,24.0084,25.24,0.0,1.0,25.29,24.98,25.01,92150000.0
2017-03-02,23.6374,24.85,0.0,1.0,25.295,24.84,25.29,69446200.0
2017-03-03,23.7515,24.97,0.0,1.0,25.03,24.86,24.87,57652800.0
2017-03-06,23.5708,24.78,0.0,1.0,24.8599,24.67,24.82,49017200.0
2017-03-07,23.5042,24.71,0.0,1.0,24.82,24.65,24.82,53726500.0
2017-03-08,23.5137,24.72,0.0,1.0,25.06,24.71,24.982,104601000.0
2017-03-09,23.5993,24.81,0.0,1.0,24.94,24.7,24.82,60804100.0
2017-03-10,23.5803,24.79,0.0,1.0,24.95,24.63,24.93,62148600.0
2017-03-13,23.6374,24.85,0.0,1.0,24.877,24.7,24.82,49418400.0
2017-03-14,23.5708,24.78,0.0,1.0,24.8,24.6,24.75,49511100.0
2017-03-15,23.5328,24.74,0.0,1.0,24.92,24.634,24.82,86455100.0
2017-03-16,23.5708,24.78,0.0,1.0,24.97,24.77,24.84,89233700.0
2017-03-17,23.3398,24.45,0.088,1.0,24.76,24.45,24.75,83056800.0
2017-03-20,23.1489,24.271,0.0,1.0,24.47,24.25,24.4,78676400.0
2017-03-21,22.4998,23.57,0.0,1.0,24.38,23.5088,24.36,192257000.0
2017-03-22,22.452,23.52,0.0,1.0,23.63,23.23,23.4,133199500.0
2017-03-23,22.4998,23.57,0.0,1.0,23.84,23.44,23.49,85238900.0
2017-03-24,22.4711,23.54,0.0,1.0,23.73,23.38,23.61,97583400.0
2017-03-27,22.3852,23.45,0.0,1.0,23.46,22.975,23.04,103963000.0
2017-03-28,22.6907,23.77,0.0,1.0,23.86,23.37,23.37,82301100.0
2017-03-29,22.5475,23.62,0.0,1.0,23.77,23.6,23.73,76524100.0
2017-03-30,22.8434,23.93,0.0,1.0,23.99,23.61,23.64,92566000.0
2017-03-31,22.6525,23.73,0.0,1.0,23.91,23.73,23.84,70540000.0
2017-04-03,22.6048,23.68,0.0,1.0,23.825,23.4,23.77,93489100.0
2017-04-04,22.5761,23.65,0.0,1.0,23.7,23.54,23.58,105795900.0
2017-04-05,22.4043,23.47,0.0,1.0,23.96,23.4709,23.87,104651200.0
2017-04-06,22.5475,23.62,0.0,1.0,23.72,23.33,23.45,80802100.0
2017-04-07,22.452,23.52,0.0,1.0,23.68,23.395,23.44,61525700.0
2017-04-10,22.3947,23.46,0.0,1.0,23.67,23.38,23.52,60429000.0
2017-04-11,22.3279,23.39,0.0,1.0,23.43,23.15,23.34,83801200.0
2017-04-12,22.1466,23.2,0.0,1.0,23.384,23.14,23.36,74023000.0
2017-04-13,21.8602,22.9,0.0,1.0,23.366,22.9,23.11,120159300.0
2017-04-17,22.242,23.3,0.0,1.0,23.31,22.89,22.96,86681200.0
2017-04-18,22.032,23.08,0.0,1.0,23.25,22.94,23.14,74890400.0
2017-04-19,21.9652,23.01,0.0,1.0,23.32,22.98,23.23,55583800.0
2017-04-20,22.3375,23.4,0.0,1.0,23.45,23.094,23.18,85720400.0
2017-04-21,22.1084,23.16,0.0,1.0,23.43,23.15,23.34,94675300.0
2017-04-24,22.6048,23.68,0.0,1.0,23.81,23.59,23.69,98770600.0
2017-04-25,22.8052,23.89,0.0,1.0,24.01,23.86,23.89,71026100.0
2017-04-26,22.7861,23.87,0.0,1.0,24.0901,23.82,23.86,71691200.0
2017-04-27,22.6811,23.76,0.0,1.0,23.92,23.62,23.92,68871800.0
2017-04-28,22.4616,23.53,0.0,1.0,23.79,23.53,23.77,64091900.0
2017-05-01,22.6048,23.68,0.0,1.0,23.8,23.55,23.65,69086600.0
2017-05-02,22.5761,23.65,0.0,1.0,23.71,23.523,23.68,76511500.0
2017-05-03,22.7575,23.84,0.0,1.0,23.84,23.55,23.57,78115400.0
2017-05-04,22.7957,23.88,0.0,1.0,24.07,23.781,23.99,64482800.0
2017-05-05,22.7575,23.84,0.0,1.0,23.96,23.76,23.95,46881500.0
2017-05-08,22.7384,23.82,0.0,1.0,23.91,23.78,23.87,45893000.0
2017-05-09,22.6525,23.73,0.0,1.0,23.96,23.65,23.8809,65737900.0
2017-05-10,22.7289,23.81,0.0,1.0,23.81,23.645,23.69,51192700.0
2017-05-11,22.5857,23.66,0.0,1.0,23.76,23.47,23.72,77266700.0
2017-05-12,22.4902,23.56,0.0,1.0,23.57,23.4319,23.55,55787200.0
2017-05-15,22.662,23.74,0.0,1.0,23.79,23.6,23.61,52192100.0
2017-05-16,22.7289,23.81,0.0,1.0,23.83,23.67,23.79,51529600.0
2017-05-17,22.0129,23.06,0.0,1.0,23.49,22.97,23.31,141192800.0
2017-05-18,22.0988,23.15,0.0,1.0,23.29,23.0,23.03,101656900.0
2017-05-19,22.2897,23.35,0.0,1.0,23.48,23.18,23.1894,69775600.0
2017-05-22,22.347,23.41,0.0,1.0,23.48,23.25,23.48,79181900.0
2017-05-23,22.5188,23.59,0.0,1.0,23.66,23.32,23.43,65577800.0
2017-05-24,22.5093,23.58,0.0,1.0,23.64,23.475,23.62,59441200.0
2017-05-25,22.5475,23.62,0.0,1.0,23.73,23.56,23.63,49362400.0
2017-05-26,22.5379,23.61,0.0,1.0,23.68,23.56,23.56,42601700.0
2017-05-30,22.3852,23.45,0.0,1.0,23.566,23.4006,23.54,46584200.0
2017-05-31,22.1943,23.25,0.0,1.0,23.46,23.1,23.45,115877900.0
2017-06-01,22.4711,23.54,0.0,1.0,23.56,23.22,23.38,81187600.0
2017-06-02,22.3852,23.45,0.0,1.0,23.57,23.32,23.37,83704500.0
2017-06-05,22.4234,23.49,0.0,1.0,23.64,23.46,23.4576,44055800.0
2017-06-06,22.3279,23.39,0.0,1.0,23.4504,23.26,23.31,60397300.0
2017-06-07,22.4998,23.57,0.0,1.0,23.6302,23.39,23.43,83049100.0
2017-06-08,22.7575,23.84,0.0,1.0,24.01,23.55,23.57,77987000.0
2017-06-09,23.1871,24.29,0.0,1.0,24.3284,23.97,23.99,133216200.0
2017-06-12,23.2348,24.34,0.0,1.0,24.51,24.2,24.34,86644400.0
2017-06-13,23.3589,24.47,0.0,1.0,24.55,24.395,24.47,94978600.0
2017-06-14,23.3971,24.51,0.0,1.0,24.54,24.1312,24.26,117605800.0
2017-06-15,23.3016,24.41,0.0,1.0,24.54,24.31,24.33,59547700.0
2017-06-16,23.2757,24.29,0.093,1.0,24.37,24.22,24.3092,53818800.0
2017-06-19,23.5153,24.54,0.0,1.0,24.59,24.42,24.4495,58041300.0
2017-06-20,23.3141,24.33,0.0,1.0,24.48,24.32,24.46,45689600.0
2017-06-21,23.1224,24.13,0.0,1.0,24.38,24.11,24.37,51938200.0
2017-06-22,22.9787,23.98,0.0,1.0,24.11,23.95,24.04,58380200.0
2017-06-23,22.8924,23.89,0.0,1.0,24.09,23.81,24.08,85352600.0
2017-06-26,23.017,24.02,0.0,1.0,24.12,23.86,23.94,60302300.0
2017-06-27,23.132,24.14,0.0,1.0,24.32,24.0499,24.11,75943400.0
2017-06-28,23.4961,24.52,0.0,1.0,24.56,24.28,24.3,90097600.0
2017-06-29,23.659,24.69,0.0,1.0,25.02,24.51,25.02,119176700.0
2017-06-30,23.6399,24.67,0.0,1.0,24.88,24.62,24.87,72754900.0
2017-07-03,23.9848,25.03,0.0,1.0,25.19,24.78,24.81,61454400.0
2017-07-05,24.0232,25.07,0.0,1.0,25.13,24.9151,25.1,78100200.0
2017-07-06,23.8411,24.88,0.0,1.0,25.17,24.88,25.06,97648100.0
2017-07-07,24.004,25.05,0.0,1.0,25.1,24.88,25.01,59432400.0
2017-07-10,23.9753,25.02,0.0,1.0,25.08,24.93,25.01,55022500.0
2017-07-11,23.7644,24.8,0.0,1.0,25.01,24.73,25.0,49857200.0
2017-07-12,23.8411,24.88,0.0,1.0,24.9,24.73,24.77,47818600.0
2017-07-13,23.9848,25.03,0.0,1.0,25.03,24.86,24.88,48875900.0
2017-07-14,23.8794,24.92,0.0,1.0,24.96,24.59,24.72,61742300.0
2017-07-17,23.8028,24.84,0.0,1.0,24.9,24.74,24.85,43257000.0
2017-07-18,23.7644,24.8,0.0,1.0,24.84,24.64,24.67,63210700.0
2017-07-19,23.774,24.81,0.0,1.0,24.92,24.72,24.85,48259400.0
2017-07-20,23.7644,24.8,0.0,1.0,24.94,24.75,24.83,40163500.0
2017-07-21,23.7644,24.8,0.0,1.0,24.88,24.73,24.73,39108400.0
2017-07-24,23.8699,24.91,0.0,1.0,24.94,24.785,24.79,26364800.0
2017-07-25,24.1669,25.22,0.0,1.0,25.3184,25.145,25.19,75786800.0
2017-07-26,24.004,25.05,0.0,1.0,25.29,24.99,25.25,56086500.0
2017-07-27,23.8699,24.91,0.0,1.0,25.11,24.8,25.1,67826200.0
2017-07-28,23.8699,24.91,0.0,1.0,24.98,24.77,24.87,43735800.0
2017-07-31,24.0423,25.09,0.0,1.0,25.177,24.97,25.0,43039300.0
2017-08-01,24.2148,25.27,0.0,1.0,25.29,25.14,25.26,60987500.0
2017-08-02,24.2532,25.31,0.0,1.0,25.33,25.18,25.2997,43341500.0
2017-08-03,24.1669,25.22,0.0,1.0,25.31,25.18,25.2725,40816800.0
2017-08-04,24.3298,25.39,0.0,1.0,25.49,25.3375,25.45,50792900.0
2017-08-07,24.2915,25.35,0.0,1.0,25.4,25.31,25.39,39486800.0
2017-08-08,24.2244,25.28,0.0,1.0,25.59,25.27,25.31,52736500.0
2017-08-09,24.2244,25.28,0.0,1.0,25.3,25.07,25.07,46567000.0
2017-08-10,23.7932,24.83,0.0,1.0,25.175,24.83,25.1204,71130300.0
2017-08-11,23.6974,24.73,0.0,1.0,24.9571,24.67,24.83,50477800.0
2017-08-14,24.0232,25.07,0.0,1.0,25.14,24.92,24.93,49472900.0
2017-08-15,24.0423,25.09,0.0,1.0,25.31,25.09,25.28,48535000.0
2017-08-16,23.9944,25.04,0.0,1.0,25.24,24.995,25.2,35084100.0
2017-08-17,23.5824,24.61,0.0,1.0,25.02,24.6,24.9811,76613100.0
2017-08-18,23.592,24.62,0.0,1.0,24.8,24.48,24.49,71725900.0
2017-08-21,23.5249,24.55,0.0,1.0,24.63,24.45,24.6,45047200.0
2017-08-22,23.7836,24.82,0.0,1.0,24.84,24.62,24.65,42644000.0
2017-08-23,23.707,24.74,0.0,1.0,24.88,24.62,24.64,36612700.0
2017-08-24,23.707,24.74,0.0,1.0,24.85,24.69,24.85,31067200.0
2017-08-25,23.774,24.81,0.0,1.0,24.92,24.78,24.79,37177300.0
2017-08-28,23.6207,24.65,0.0,1.0,24.84,24.59,24.83,36486900.0
2017-08-29,23.5441,24.57,0.0,1.0,24.61,24.35,24.37,42814200.0
2017-08-30,23.6399,24.67,0.0,1.0,24.777,24.59,24.61,35176100.0
2017-08-31,23.6686,24.7,0.0,1.0,24.7744,24.62,24.75,44225200.0
2017-09-01,23.7357,24.77,0.0,1.0,24.9092,24.67,24.73,42132600.0
2017-09-05,23.2278,24.24,0.0,1.0,24.62,24.17,24.58,96579200.0
2017-09-06,23.2853,24.3,0.0,1.0,24.42,24.22,24.33,77593900.0
2017-09-07,22.8829,23.88,0.0,1.0,24.36,23.79,24.34,87667800.0
2017-09-08,23.0937,24.1,0.0,1.0,24.19,23.85,23.9,68639500.0
2017-09-11,23.4961,24.52,0.0,1.0,24.59,24.33,24.38,73305700.0
2017-09-12,23.774,24.81,0.0,1.0,24.83,24.59,24.61,66350600.0
2017-09-13,23.8124,24.85,0.0,1.0,24.86,24.68,24.77,51049400.0
2017-09-14,23.7644,24.8,0.0,1.0,24.92,24.75,24.86,47163200.0
2017-09-15,23.8347,24.77,0.103,1.0,24.79,24.63,24.66,59250200.0
2017-09-18,24.1137,25.06,0.0,1.0,25.07,24.84,24.86,44010400.0
2017-09-19,24.2966,25.25,0.0,1.0,25.31,25.02,25.06,58443300.0
2017-09-20,24.4409,25.4,0.0,1.0,25.49,25.15,25.27,70595500.0
2017-09-21,24.4986,25.46,0.0,1.0,25.52,25.32,25.34,51050100.0
2017-09-22,24.4698,25.43,0.0,1.0,25.46,25.285,25.36,42306600.0
2017-09-25,24.4409,25.4,0.0,1.0,25.49,25.23,25.4,39774600.0
2017-09-26,24.4313,25.39,0.0,1.0,25.48,25.32,25.44,46811000.0
2017-09-27,24.7296,25.7,0.0,1.0,25.83,25.595,25.71,65919100.0
2017-09-28,24.7681,25.74,0.0,1.0,25.8,25.61,25.7884,37718900.0
2017-09-29,24.8835,25.86,0.0,1.0,25.86,25.7,25.74,42740800.0
2017-10-02,25.0952,26.08,0.0,1.0,26.08,25.81,25.81,52774000.0
2017-10-03,25.1818,26.17,0.0,1.0,26.17,26.01,26.0618,48062900.0
2017-10-04,25.0664,26.05,0.0,1.0,26.18,26.04,26.1,39283800.0
2017-10-05,25.3262,26.32,0.0,1.0,26.41,26.006,26.08,61260400.0
2017-10-06,25.355,26.35,0.0,1.0,26.46,26.21,26.39,66077800.0
2017-10-09,25.2588,26.25,0.0,1.0,26.42,26.19,26.4212,31340200.0
2017-10-10,25.3743,26.37,0.0,1.0,26.37,26.22,26.29,35822500.0
2017-10-11,25.3262,26.32,0.0,1.0,26.345,26.21,26.31,33748600.0
2017-10-12,25.1337,26.12,0.0,1.0,26.4,26.09,26.39,53834800.0
2017-10-13,25.1433,26.13,0.0,1.0,26.22,25.89,25.99,69561400.0
2017-10-16,25.3069,26.3,0.0,1.0,26.31,26.14,26.15,42000700.0
2017-10-17,25.1818,26.17,0.0,1.0,26.4,26.11,26.39,37844200.0
2017-10-18,25.3165,26.31,0.0,1.0,26.35,26.17,26.28,52201500.0
2017-10-19,25.3358,26.33,0.0,1.0,26.34,26.08,26.1216,34671600.0
2017-10-20,25.6341,26.64,0.0,1.0,26.66,26.52,26.61,56083800.0
2017-10-23,25.6148,26.62,0.0,1.0,26.7,26.56,26.65,43555200.0
2017-10-24,25.7977,26.81,0.0,1.0,26.86,26.69,26.71,61259200.0
2017-10-25,25.6437,26.65,0.0,1.0,26.92,26.5,26.89,68653500.0
2017-10-26,25.788,26.8,0.0,1.0,26.92,26.75,26.75,41832600.0
2017-10-27,25.7688,26.78,0.0,1.0,26.83,26.61,26.75,56694400.0
