Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,48.1496,51.9,0.0,1.0,51.97,51.6,51.75,21730000.0
2017-01-04,48.1496,51.9,0.0,1.0,52.15,51.89,51.97,9144600.0
2017-01-05,48.3073,52.07,0.0,1.0,52.14,51.7,51.89,12312500.0
2017-01-06,48.3537,52.12,0.0,1.0,52.15,51.78,51.97,9092400.0
2017-01-09,47.964,51.7,0.0,1.0,51.96,51.65,51.92,6903200.0
2017-01-10,47.7228,51.44,0.0,1.0,51.73,51.36,51.65,10344300.0
2017-01-11,47.8156,51.54,0.0,1.0,51.62,51.35,51.348,12087500.0
2017-01-12,47.7692,51.49,0.0,1.0,51.61,51.44,51.52,13257600.0
2017-01-13,47.797,51.52,0.0,1.0,51.62,51.39,51.49,6517700.0
2017-01-17,48.4743,52.25,0.0,1.0,52.275,51.51,51.56,19030100.0
2017-01-18,48.6413,52.43,0.0,1.0,52.45,52.2,52.2,11652100.0
2017-01-19,48.465,52.24,0.0,1.0,52.37,52.12,52.37,17283400.0
2017-01-20,48.7804,52.58,0.0,1.0,52.77,52.31,52.49,11015600.0
2017-01-23,48.7619,52.56,0.0,1.0,52.61,52.3881,52.58,16203800.0
2017-01-24,49.0866,52.91,0.0,1.0,52.9583,52.58,52.6,10242500.0
2017-01-25,49.0773,52.9,0.0,1.0,53.1,52.89,53.03,8816800.0
2017-01-26,48.8639,52.67,0.0,1.0,52.93,52.67,52.92,9985400.0
2017-01-27,48.5949,52.38,0.0,1.0,52.68,52.24,52.54,16358700.0
2017-01-30,48.5578,52.34,0.0,1.0,52.41,52.19,52.23,9951700.0
2017-01-31,48.7897,52.59,0.0,1.0,52.59,52.25,52.34,12061300.0
2017-02-01,48.4093,52.18,0.0,1.0,52.5,52.17,52.34,18479800.0
2017-02-02,48.8546,52.66,0.0,1.0,52.87,52.42,52.42,18747500.0
2017-02-03,49.1701,53.0,0.0,1.0,53.15,52.79,52.9312,17954700.0
2017-02-06,48.901,52.71,0.0,1.0,52.98,52.71,52.9647,19067900.0
2017-02-07,49.3,53.14,0.0,1.0,53.24,52.81,52.81,8364400.0
2017-02-08,49.5041,53.36,0.0,1.0,53.46,53.12,53.2,8559200.0
2017-02-09,49.7082,53.58,0.0,1.0,53.666,53.21,53.3,8840900.0
2017-02-10,49.7453,53.62,0.0,1.0,53.69,53.42,53.61,9354200.0
2017-02-13,49.7453,53.62,0.0,1.0,53.77,53.47,53.7,14059100.0
2017-02-14,49.7545,53.63,0.0,1.0,53.73,53.3,53.49,10483300.0
2017-02-15,50.2091,54.12,0.0,1.0,54.16,53.64,53.75,12675900.0
2017-02-16,50.2741,54.19,0.0,1.0,54.205,53.81,54.06,11377300.0
2017-02-17,50.5246,54.46,0.0,1.0,54.52,53.93,54.03,15581800.0
2017-02-21,50.9792,54.95,0.0,1.0,55.09,54.56,54.62,16500000.0
2017-02-22,50.9884,54.96,0.0,1.0,55.03,54.82,54.9,8099000.0
2017-02-23,51.109,55.09,0.0,1.0,55.31,54.9648,55.0,9790300.0
2017-02-24,51.2853,55.28,0.0,1.0,55.3,54.99,55.0294,7762200.0
2017-02-27,51.0534,55.03,0.0,1.0,55.19,54.91,55.19,12707400.0
2017-02-28,51.1183,55.1,0.0,1.0,55.22,54.88,54.94,17735500.0
2017-03-01,51.3595,55.36,0.0,1.0,55.48,55.05,55.13,16716100.0
2017-03-02,51.3503,55.35,0.0,1.0,55.47,55.19,55.3,9988500.0
2017-03-03,51.1554,55.14,0.0,1.0,55.232,54.9,55.18,10083200.0
2017-03-06,50.9328,54.9,0.0,1.0,54.98,54.81,54.95,6686600.0
2017-03-07,50.8678,54.83,0.0,1.0,54.94,54.75,54.76,7846500.0
2017-03-08,50.7565,54.71,0.0,1.0,54.7971,54.64,54.69,10788000.0
2017-03-09,50.84,54.8,0.0,1.0,54.89,54.69,54.69,7025300.0
2017-03-10,51.0719,55.05,0.0,1.0,55.12,54.9,55.03,6530200.0
2017-03-13,51.109,55.09,0.0,1.0,55.16,54.93,55.0,10658000.0
2017-03-14,50.9606,54.93,0.0,1.0,55.14,54.9,55.02,7890800.0
2017-03-15,51.341,55.34,0.0,1.0,55.5,55.0,55.0,14102900.0
2017-03-16,51.4152,55.42,0.0,1.0,55.42,55.23,55.35,8727200.0
2017-03-17,51.2753,54.98,0.29,1.0,55.355,54.98,55.17,16469400.0
2017-03-20,51.3779,55.077,0.0,1.0,55.16,54.99,55.03,6559200.0
2017-03-21,51.3313,55.04,0.0,1.0,55.27,54.97,55.11,13135500.0
2017-03-22,51.2287,54.93,0.0,1.0,55.21,54.804,55.12,7094700.0
2017-03-23,51.1168,54.81,0.0,1.0,55.08,54.7167,54.88,7474700.0
2017-03-24,51.0142,54.7,0.0,1.0,54.89,54.5104,54.81,8343300.0
2017-03-27,50.9675,54.65,0.0,1.0,54.719,54.411,54.5,5739500.0
2017-03-28,51.0608,54.75,0.0,1.0,54.89,54.45,54.45,8810200.0
2017-03-29,51.1541,54.85,0.0,1.0,54.92,54.66,54.7,5558200.0
2017-03-30,51.0515,54.74,0.0,1.0,54.9,54.69,54.8,5399100.0
2017-03-31,50.9023,54.58,0.0,1.0,54.81,54.58,54.67,4762300.0
2017-04-03,50.8183,54.49,0.0,1.0,54.72,54.405,54.66,10666600.0
2017-04-04,50.9675,54.65,0.0,1.0,54.655,54.43,54.53,5284000.0
2017-04-05,50.8743,54.55,0.0,1.0,54.9,54.48,54.66,7268100.0
2017-04-06,50.8743,54.55,0.0,1.0,54.77,54.51,54.6021,5061000.0
2017-04-07,51.0142,54.7,0.0,1.0,54.85,54.58,54.6,7629900.0
2017-04-10,51.1634,54.86,0.0,1.0,54.955,54.62,54.72,5260600.0
2017-04-11,51.182,54.88,0.0,1.0,54.925,54.69,54.87,6325100.0
2017-04-12,51.3779,55.09,0.0,1.0,55.12,54.81,54.84,7377400.0
2017-04-13,51.1447,54.84,0.0,1.0,55.1,54.82,55.05,6719100.0
2017-04-17,51.5085,55.23,0.0,1.0,55.23,54.92,54.93,10585800.0
2017-04-18,51.7416,55.48,0.0,1.0,55.6386,55.06,55.16,11085500.0
2017-04-19,51.5458,55.27,0.0,1.0,55.59,55.185,55.55,7254600.0
2017-04-20,51.4432,55.16,0.0,1.0,55.25,54.971,55.08,9738200.0
2017-04-21,51.2939,55.0,0.0,1.0,55.17,54.97,55.13,8435700.0
2017-04-24,51.7603,55.5,0.0,1.0,55.59,55.16,55.16,9831700.0
2017-04-25,51.9654,55.72,0.0,1.0,55.8,55.51,55.5288,7292900.0
2017-04-26,51.5458,55.27,0.0,1.0,55.74,55.24,55.74,7930800.0
2017-04-27,51.4805,55.2,0.0,1.0,55.3807,55.114,55.35,5861400.0
2017-04-28,51.4618,55.18,0.0,1.0,55.2,54.89,55.04,7034800.0
2017-05-01,51.266,54.97,0.0,1.0,55.26,54.9187,55.26,8353900.0
2017-05-02,50.9209,54.6,0.0,1.0,54.96,54.55,54.85,7672100.0
2017-05-03,50.9675,54.65,0.0,1.0,54.74,54.48,54.65,10973800.0
2017-05-04,51.3592,55.07,0.0,1.0,55.36,54.74,54.79,11587700.0
2017-05-05,51.4991,55.22,0.0,1.0,55.28,55.05,55.22,8539500.0
2017-05-08,51.4805,55.2,0.0,1.0,55.26,55.085,55.26,5323400.0
2017-05-09,51.2939,55.0,0.0,1.0,55.275,54.91,55.18,7256900.0
2017-05-10,51.3313,55.04,0.0,1.0,55.11,54.96,55.03,5232300.0
2017-05-11,51.4059,55.12,0.0,1.0,55.12,54.88,54.97,5058900.0
2017-05-12,51.2567,54.96,0.0,1.0,55.105,54.93,55.07,5478800.0
2017-05-15,51.4245,55.14,0.0,1.0,55.2,54.93,54.93,7303700.0
2017-05-16,51.3779,55.09,0.0,1.0,55.387,55.0512,55.31,4797100.0
2017-05-17,51.3033,55.01,0.0,1.0,55.2,54.86,55.0,14021700.0
2017-05-18,51.3406,55.05,0.0,1.0,55.18,54.87,55.03,7906600.0
