Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,66.9012,69.84,0.0,1.0,69.86,69.22,69.31,11792900.0
2017-01-04,67.428,70.39,0.0,1.0,70.58,69.95,69.95,9174500.0
2017-01-05,67.7729,70.75,0.0,1.0,70.77,70.27,70.33,5979300.0
2017-01-06,67.9645,70.95,0.0,1.0,71.15,70.515,70.7646,5769300.0
2017-01-09,68.2519,71.25,0.0,1.0,71.37,70.82,70.95,5751900.0
2017-01-10,68.4914,71.5,0.0,1.0,71.91,71.21,71.37,10320500.0
2017-01-11,67.8016,70.78,0.0,1.0,71.8425,70.05,71.59,23742000.0
2017-01-12,67.8687,70.85,0.0,1.0,70.89,70.26,70.43,9358900.0
2017-01-13,67.9357,70.92,0.0,1.0,71.16,70.75,70.91,5279000.0
2017-01-17,67.5909,70.56,0.0,1.0,70.68,69.98,70.48,6038200.0
2017-01-18,67.5047,70.47,0.0,1.0,70.86,70.33,70.7,6174200.0
2017-01-19,67.0736,70.02,0.0,1.0,70.61,69.91,70.45,6470700.0
2017-01-20,66.9012,69.84,0.0,1.0,70.37,69.78,70.02,7006900.0
2017-01-23,66.6234,69.55,0.0,1.0,69.938,69.29,69.75,10003700.0
2017-01-24,66.1636,69.07,0.0,1.0,69.53,68.75,69.48,8703500.0
2017-01-25,66.7862,69.72,0.0,1.0,69.75,69.09,69.13,6553800.0
2017-01-26,66.269,69.18,0.0,1.0,69.69,69.17,69.57,6612500.0
2017-01-27,66.815,69.75,0.0,1.0,69.8,69.32,69.34,7264900.0
2017-01-30,66.4893,69.41,0.0,1.0,69.72,69.12,69.58,7281900.0
2017-01-31,67.5526,70.52,0.0,1.0,70.5182,68.99,69.04,14342500.0
2017-02-01,68.1369,71.13,0.0,1.0,71.1259,70.38,70.52,19490500.0
2017-02-02,68.1178,71.11,0.0,1.0,71.15,70.555,70.78,14539400.0
2017-02-03,68.4147,71.42,0.0,1.0,71.49,70.9907,71.34,15104800.0
2017-02-06,68.4914,71.5,0.0,1.0,71.5,71.15,71.29,11561600.0
2017-02-07,68.5584,71.57,0.0,1.0,71.83,71.33,71.55,11278000.0
2017-02-08,68.453,71.46,0.0,1.0,71.535,70.99,71.1951,6812900.0
2017-02-09,68.7021,71.72,0.0,1.0,71.93,71.39,71.45,7869200.0
2017-02-10,68.8362,71.86,0.0,1.0,72.02,71.66,71.83,4440300.0
2017-02-13,69.2577,72.3,0.0,1.0,72.3416,71.93,71.93,6465200.0
2017-02-14,69.8037,72.87,0.0,1.0,72.87,72.165,72.22,10403000.0
2017-02-15,70.5604,73.66,0.0,1.0,73.8,72.64,72.71,10091700.0
2017-02-16,70.4647,73.56,0.0,1.0,73.75,73.06,73.681,11332600.0
2017-02-17,70.5604,73.66,0.0,1.0,73.7,73.2744,73.28,12118400.0
2017-02-21,70.8766,73.99,0.0,1.0,74.23,73.65,73.65,10651800.0
2017-02-22,70.7712,73.88,0.0,1.0,74.14,73.815,73.9,6634300.0
2017-02-23,71.2885,74.42,0.0,1.0,74.545,73.87,73.96,8685600.0
2017-02-24,71.6333,74.78,0.0,1.0,74.82,74.27,74.3,9103000.0
2017-02-27,71.9782,75.14,0.0,1.0,75.18,74.67,74.83,8178200.0
2017-02-28,71.8345,74.99,0.0,1.0,75.23,74.77,74.93,10258600.0
2017-03-01,72.5529,75.74,0.0,1.0,75.93,75.225,75.44,15196600.0
2017-03-02,72.323,75.5,0.0,1.0,75.885,75.49,75.62,7889300.0
2017-03-03,72.6104,75.8,0.0,1.0,75.86,75.365,75.39,6635300.0
2017-03-06,72.3326,75.51,0.0,1.0,75.75,75.24,75.69,5886900.0
2017-03-07,71.8249,74.98,0.0,1.0,75.36,74.74,74.89,12330600.0
2017-03-08,72.1123,75.28,0.0,1.0,75.54,74.92,74.97,8130000.0
2017-03-09,72.505,75.69,0.0,1.0,75.79,75.22,75.27,8451400.0
2017-03-10,72.7828,75.98,0.0,1.0,76.09,75.7,76.0098,10455800.0
2017-03-13,72.7253,75.92,0.0,1.0,76.05,75.62,76.05,6898500.0
2017-03-14,72.4571,75.64,0.0,1.0,75.96,75.56,75.71,7296300.0
2017-03-15,73.3671,76.59,0.0,1.0,76.745,75.745,75.75,11044900.0
2017-03-16,72.6583,75.85,0.0,1.0,76.4033,75.56,76.4,12129400.0
2017-03-17,72.2584,75.16,0.274,1.0,75.526,75.12,75.39,10401000.0
2017-03-20,72.1526,75.036,0.0,1.0,75.29,74.895,75.18,4728300.0
2017-03-21,71.5854,74.46,0.0,1.0,75.39,72.33,75.13,16650400.0
2017-03-22,71.6046,74.48,0.0,1.0,74.666,74.11,74.57,9954300.0
2017-03-23,71.3835,74.25,0.0,1.0,74.766,74.111,74.39,13250500.0
2017-03-24,71.422,74.29,0.0,1.0,74.62,73.98,74.29,9229500.0
2017-03-27,71.6142,74.49,0.0,1.0,74.62,73.621,73.76,6946300.0
2017-03-28,71.6623,74.54,0.0,1.0,74.64,74.11,74.34,7392300.0
2017-03-29,71.6815,74.56,0.0,1.0,74.74,74.39,74.57,4357800.0
2017-03-30,71.6911,74.57,0.0,1.0,74.72,74.27,74.47,7137400.0
2017-03-31,71.4893,74.36,0.0,1.0,74.56,74.28,74.39,5895400.0
2017-04-03,71.5469,74.42,0.0,1.0,74.79,74.13,74.44,12354800.0
2017-04-04,71.5085,74.38,0.0,1.0,74.48,74.17,74.4,5228600.0
2017-04-05,71.2873,74.15,0.0,1.0,74.92,74.1,74.48,6470100.0
2017-04-06,71.4123,74.28,0.0,1.0,74.415,73.95,74.17,5253300.0
2017-04-07,71.5373,74.41,0.0,1.0,74.597,74.13,74.33,5638200.0
2017-04-10,71.4027,74.27,0.0,1.0,74.639,74.2,74.39,4530000.0
2017-04-11,71.3066,74.17,0.0,1.0,74.34,73.7601,74.15,5472600.0
2017-04-12,71.3066,74.17,0.0,1.0,74.29,73.87,74.09,3782200.0
2017-04-13,71.1239,73.98,0.0,1.0,74.325,73.98,74.08,6671100.0
2017-04-17,71.3835,74.25,0.0,1.0,74.27,73.83,73.89,6149900.0
2017-04-18,70.6048,73.44,0.0,1.0,73.84,73.16,73.84,7519500.0
2017-04-19,70.8163,73.66,0.0,1.0,73.87,73.5297,73.68,5023100.0
2017-04-20,71.2585,74.12,0.0,1.0,74.27,73.47,73.81,7307300.0
2017-04-21,70.8355,73.68,0.0,1.0,74.059,73.51,73.9912,6763000.0
2017-04-24,71.5373,74.41,0.0,1.0,74.59,74.31,74.39,5450000.0
2017-04-25,71.845,74.73,0.0,1.0,74.945,74.5027,74.71,9035700.0
2017-04-26,72.2391,75.14,0.0,1.0,75.44,74.94,75.0,6240400.0
2017-04-27,72.3929,75.3,0.0,1.0,75.65,75.01,75.16,6962800.0
2017-04-28,72.5852,75.5,0.0,1.0,75.54,75.235,75.36,5781100.0
2017-05-01,72.7487,75.67,0.0,1.0,75.815,75.5,75.63,7182000.0
2017-05-02,72.9505,75.88,0.0,1.0,75.9,75.3,75.74,5243800.0
2017-05-03,72.5948,75.51,0.0,1.0,75.71,75.34,75.65,8094100.0
2017-05-04,73.0755,76.01,0.0,1.0,76.01,75.66,75.766,4275400.0
2017-05-05,73.0371,75.97,0.0,1.0,76.2,75.66,76.18,5720100.0
2017-05-08,72.5852,75.5,0.0,1.0,75.97,75.39,75.91,6558500.0
2017-05-09,72.6718,75.59,0.0,1.0,75.73,75.45,75.54,3830200.0
2017-05-10,72.4603,75.37,0.0,1.0,75.48,75.06,75.47,4314900.0
2017-05-11,72.4987,75.41,0.0,1.0,75.44,75.03,75.25,6791600.0
2017-05-12,72.3737,75.28,0.0,1.0,75.485,75.23,75.38,2638000.0
2017-05-15,72.8448,75.77,0.0,1.0,75.81,75.25,75.32,7320800.0
2017-05-16,72.566,75.48,0.0,1.0,75.76,75.265,75.6909,5471700.0
2017-05-17,71.6142,74.49,0.0,1.0,75.08,74.49,74.87,11434000.0
2017-05-18,71.9315,74.82,0.0,1.0,75.25,74.45,74.45,10690500.0
2017-05-19,72.1334,75.03,0.0,1.0,75.265,74.85,74.95,9209800.0
2017-05-22,72.3257,75.23,0.0,1.0,75.315,74.8,74.96,4999100.0
2017-05-23,72.566,75.48,0.0,1.0,75.635,75.27,75.33,4216100.0
2017-05-24,72.7487,75.67,0.0,1.0,75.73,75.34,75.52,5186400.0
2017-05-25,73.0948,76.03,0.0,1.0,76.1795,75.66,75.84,4479400.0
2017-05-26,72.9602,75.89,0.0,1.0,76.1877,75.81,75.97,4507400.0
2017-05-30,72.8544,75.78,0.0,1.0,75.97,75.65,75.65,4651200.0
2017-05-31,73.1428,76.08,0.0,1.0,76.25,75.865,75.93,5884400.0
2017-06-01,73.9504,76.92,0.0,1.0,76.98,76.13,76.21,9149900.0
2017-06-02,74.4311,77.42,0.0,1.0,77.524,77.07,77.14,4833000.0
2017-06-05,74.2196,77.2,0.0,1.0,77.5,77.02,77.42,5558900.0
2017-06-06,74.0369,77.01,0.0,1.0,77.29,76.88,77.0551,4316500.0
2017-06-07,74.2388,77.22,0.0,1.0,77.295,76.97,77.1077,4415700.0
2017-06-08,74.0273,77.0,0.0,1.0,77.355,76.795,77.17,6304400.0
2017-06-09,74.5273,77.52,0.0,1.0,77.755,77.0,77.1,13419000.0
2017-06-12,74.4311,77.42,0.0,1.0,77.7442,77.05,77.46,7700600.0
2017-06-13,74.5849,77.58,0.0,1.0,77.68,77.305,77.4901,5592500.0
2017-06-14,74.9406,77.95,0.0,1.0,78.17,77.68,77.71,6782300.0
2017-06-15,74.8637,77.87,0.0,1.0,77.93,77.44,77.65,8186000.0
2017-06-16,74.9873,77.69,0.308,1.0,77.85,77.28,77.66,14165200.0
2017-06-19,75.7691,78.5,0.0,1.0,78.57,77.76,77.8,8294400.0
2017-06-20,76.0201,78.76,0.0,1.0,79.195,78.46,78.49,7697200.0
2017-06-21,76.9853,79.76,0.0,1.0,79.8,78.87,78.92,9481200.0
2017-06-22,77.7864,80.59,0.0,1.0,81.08,79.86,79.89,12341100.0
2017-06-23,77.6706,80.47,0.0,1.0,80.64,80.17,80.49,8779600.0
2017-06-26,77.5934,80.39,0.0,1.0,80.7,80.27,80.7,7434400.0
2017-06-27,76.8888,79.66,0.0,1.0,80.49,79.64,80.39,8428000.0
2017-06-28,77.2941,80.08,0.0,1.0,80.28,79.88,79.92,8674200.0
2017-06-29,76.5895,79.35,0.0,1.0,80.06,78.865,79.99,8445800.0
2017-06-30,76.4834,79.24,0.0,1.0,79.66,79.24,79.66,7817400.0
2017-07-03,76.6185,79.38,0.0,1.0,79.75,79.37,79.51,5904200.0
2017-07-05,77.0721,79.85,0.0,1.0,79.95,79.21,79.49,8955500.0
2017-07-06,76.078,78.82,0.0,1.0,79.66,78.71,79.51,6367700.0
2017-07-07,76.4641,79.22,0.0,1.0,79.31,78.9,79.1,4371400.0
2017-07-10,76.3193,79.07,0.0,1.0,79.28,78.87,79.25,3580000.0
2017-07-11,76.2324,78.98,0.0,1.0,79.19,78.5816,79.02,4117500.0
2017-07-12,76.7536,79.52,0.0,1.0,79.78,79.35,79.37,8808200.0
2017-07-13,76.8212,79.59,0.0,1.0,79.84,79.05,79.59,9437700.0
2017-07-14,77.3424,80.13,0.0,1.0,80.3,79.6,79.76,5750000.0
2017-07-17,77.0625,79.84,0.0,1.0,80.2881,79.82,80.23,5743700.0
2017-07-18,77.1204,79.9,0.0,1.0,79.98,79.36,79.74,8042700.0
2017-07-19,77.7478,80.55,0.0,1.0,80.55,80.24,80.24,8177900.0
2017-07-20,78.2594,81.08,0.0,1.0,81.21,80.61,80.74,8276800.0
2017-07-21,78.1725,80.99,0.0,1.0,81.11,80.845,80.91,4043600.0
2017-07-24,78.1435,80.96,0.0,1.0,81.04,80.615,80.92,4476800.0
2017-07-25,77.5837,80.38,0.0,1.0,81.21,80.26,81.15,8486000.0
2017-07-26,77.3231,80.11,0.0,1.0,80.28,79.89,80.2,4964100.0
2017-07-27,76.7922,79.56,0.0,1.0,80.19,79.231,80.19,12536800.0
2017-07-28,77.1783,79.96,0.0,1.0,80.06,79.25,79.59,6426100.0
2017-07-31,77.1107,79.89,0.0,1.0,80.225,79.8762,80.06,5516800.0
2017-08-01,76.937,79.71,0.0,1.0,80.18,79.61,80.18,8678800.0
2017-08-02,76.7633,79.53,0.0,1.0,79.704,79.25,79.7,7718500.0
2017-08-03,76.8888,79.66,0.0,1.0,79.82,79.31,79.57,8003600.0
2017-08-04,76.715,79.48,0.0,1.0,80.03,79.3848,80.03,3930100.0
2017-08-07,76.8791,79.65,0.0,1.0,79.66,79.335,79.4,4583300.0
2017-08-08,76.522,79.28,0.0,1.0,79.69,79.12,79.55,4423300.0
2017-08-09,76.6088,79.37,0.0,1.0,79.45,78.95,79.09,4886500.0
2017-08-10,75.6533,78.38,0.0,1.0,79.2,78.3704,79.13,7054700.0
2017-08-11,75.8656,78.6,0.0,1.0,78.99,78.42,78.42,8318600.0
2017-08-14,76.3772,79.13,0.0,1.0,79.255,78.94,78.94,3955800.0
2017-08-15,76.3772,79.13,0.0,1.0,79.39,79.11,79.23,4653800.0
2017-08-16,76.5895,79.35,0.0,1.0,79.5,79.165,79.26,3756900.0
2017-08-17,75.634,78.36,0.0,1.0,79.44,78.33,79.1,7133400.0
2017-08-18,75.2865,78.0,0.0,1.0,78.53,77.95,78.07,8434600.0
2017-08-21,75.6243,78.35,0.0,1.0,78.45,77.82,77.93,10269000.0
2017-08-22,76.5413,79.3,0.0,1.0,79.39,78.32,78.37,5455500.0
2017-08-23,75.9621,78.7,0.0,1.0,79.045,78.665,79.03,5662500.0
2017-08-24,76.1842,78.93,0.0,1.0,79.04,78.6255,78.78,5502800.0
2017-08-25,76.2034,78.95,0.0,1.0,79.4,78.89,79.1,5476500.0
2017-08-28,76.6088,79.37,0.0,1.0,79.5,79.15,79.17,7432800.0
2017-08-29,76.7536,79.52,0.0,1.0,79.6,78.97,79.04,4243500.0
2017-08-30,77.1494,79.93,0.0,1.0,80.13,79.41,79.43,3667900.0
2017-08-31,78.4621,81.29,0.0,1.0,81.3669,80.13,80.13,6987200.0
2017-09-01,78.4041,81.23,0.0,1.0,81.58,80.915,81.41,6471600.0
2017-09-05,78.0663,80.88,0.0,1.0,81.37,80.505,80.89,8076900.0
2017-09-06,78.4427,81.27,0.0,1.0,81.35,80.7918,81.16,8791000.0
2017-09-07,79.3114,82.17,0.0,1.0,82.35,81.2374,81.26,7251000.0
2017-09-08,79.6685,82.54,0.0,1.0,82.68,81.911,82.05,4302600.0
2017-09-11,80.2863,83.18,0.0,1.0,83.2,82.73,82.91,6286200.0
2017-09-12,80.46,83.36,0.0,1.0,83.37,83.035,83.2,6984800.0
2017-09-13,80.1608,83.05,0.0,1.0,83.41,82.892,83.26,5873800.0
2017-09-14,80.267,83.16,0.0,1.0,83.29,82.716,82.82,6373800.0
2017-09-15,80.0103,82.59,0.305,1.0,83.06,82.5041,83.06,7091300.0
2017-09-18,79.9909,82.57,0.0,1.0,82.9,82.44,82.68,7783100.0
2017-09-19,79.3612,81.92,0.0,1.0,82.71,81.83,82.61,7329200.0
2017-09-20,79.4387,82.0,0.0,1.0,82.089,81.41,81.95,5101800.0
2017-09-21,79.0318,81.58,0.0,1.0,82.04,81.54,81.95,4527900.0
2017-09-22,79.0318,81.58,0.0,1.0,81.69,81.1622,81.47,6473300.0
2017-09-25,78.7993,81.34,0.0,1.0,81.84,81.2237,81.47,12439300.0
2017-09-26,78.6734,81.21,0.0,1.0,81.796,81.18,81.57,4579400.0
2017-09-27,78.6443,81.18,0.0,1.0,81.42,80.835,81.42,5384700.0
2017-09-28,78.7121,81.25,0.0,1.0,81.52,80.99,81.11,4229000.0
2017-09-29,79.1771,81.73,0.0,1.0,81.77,81.06,81.26,6902700.0
2017-10-02,79.9812,82.56,0.0,1.0,82.57,81.88,81.9755,8764900.0
2017-10-03,79.9618,82.54,0.0,1.0,82.796,82.215,82.68,5141700.0
