Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,79.0179,81.88,0.0,1.0,82.34,81.38,82.05,14050500.0
2017-01-04,80.0698,82.97,0.0,1.0,83.06,82.16,82.24,5493800.0
2017-01-05,80.0119,82.91,0.0,1.0,82.9435,82.44,82.46,4396700.0
2017-01-06,80.4075,83.32,0.0,1.0,83.57,82.58,82.8886,6538100.0
2017-01-09,80.34,83.25,0.0,1.0,83.47,83.1,83.2982,3855600.0
2017-01-10,80.6295,83.55,0.0,1.0,83.856,83.1,83.23,5174800.0
2017-01-11,80.8032,83.73,0.0,1.0,83.73,83.22,83.49,5388700.0
2017-01-12,80.726,83.65,0.0,1.0,83.7504,82.975,83.54,4282300.0
2017-01-13,81.0251,83.96,0.0,1.0,84.04,83.7,83.7,2808400.0
2017-01-17,81.1603,84.1,0.0,1.0,84.3789,83.71,83.72,4325900.0
2017-01-18,81.0155,83.95,0.0,1.0,84.13,83.66,84.13,2910100.0
2017-01-19,80.7646,83.69,0.0,1.0,84.36,83.5043,84.07,4163000.0
2017-01-20,80.9962,83.93,0.0,1.0,84.15,83.66,83.99,5491900.0
2017-01-23,81.0541,83.99,0.0,1.0,84.02,83.47,83.55,8552900.0
2017-01-24,81.72,84.68,0.0,1.0,84.77,83.97,84.12,4797200.0
2017-01-25,82.2218,85.2,0.0,1.0,85.29,84.95,85.01,3669100.0
2017-01-26,82.3473,85.33,0.0,1.0,85.635,85.07,85.27,3904900.0
2017-01-27,82.0867,85.06,0.0,1.0,85.5,84.75,85.39,4510800.0
2017-01-30,81.9902,84.96,0.0,1.0,85.03,84.19,84.93,3789600.0
2017-01-31,81.8648,84.83,0.0,1.0,84.83,84.215,84.58,4745000.0
2017-02-01,81.7103,84.67,0.0,1.0,85.12,84.3568,84.97,5206800.0
2017-02-02,81.6428,84.6,0.0,1.0,84.97,84.44,84.54,4081000.0
