Date,PX_LAST,PX_VOLUME
1/3/2000,113.5,1278800
1/4/2000,109.7656,1535700
1/5/2000,111.1875,2007000
1/6/2000,111.75,2639500
1/7/2000,115.5,3767400
1/10/2000,116,762900
1/11/2000,115.1406,1658700
1/12/2000,115.4375,813300
1/13/2000,115.875,1192200
1/14/2000,117.5,1935500
1/18/2000,115.7188,656500
1/19/2000,115.5625,1003400
1/20/2000,113.7344,908100
1/21/2000,112.8125,783200
1/24/2000,110,2066100
1/25/2000,110.3438,1728200
1/26/2000,110.4688,1001400
1/27/2000,110.4688,853900
1/28/2000,107.4063,1253300
1/31/2000,109.5,996600
2/1/2000,110.2813,786500
2/2/2000,109.6875,618100
2/3/2000,110.5,863300
2/4/2000,109.75,474000
2/7/2000,108.75,723900
2/8/2000,109.3125,993100
2/9/2000,106.9063,819900
2/10/2000,107,1263500
2/11/2000,104.5,2148400
2/14/2000,105.5,1300800
2/15/2000,107.4375,1360000
2/16/2000,105.8125,725800
2/17/2000,104.7813,1164100
2/18/2000,102.25,1526700
2/22/2000,102.8125,1518800
2/23/2000,102.25,1558900
2/24/2000,102,4518700
2/25/2000,98.5625,3316900
2/28/2000,100.1406,3068300
2/29/2000,101.5625,1205000
3/1/2000,101.625,1136200
3/2/2000,101.6875,576000
3/3/2000,103.875,1678200
3/6/2000,101.7188,1220500
3/7/2000,98,3745500
3/8/2000,98.4688,2618900
3/9/2000,100.3281,1715100
3/10/2000,99.5625,1352600
3/13/2000,99.625,1506500
3/14/2000,98.4688,854300
3/15/2000,101.625,2040200
3/16/2000,106.7813,4857700
3/17/2000,106.125,3710500
3/20/2000,106.8125,1812000
3/21/2000,109.125,2310300
3/22/2000,108.5781,2434800
3/23/2000,111.125,1894400
3/24/2000,111.125,1903400
3/27/2000,109.8125,1431300
3/28/2000,109.375,1575100
3/29/2000,110.75,1426600
3/30/2000,110.0625,3573300
3/31/2000,109.4375,1103400
4/3/2000,112.6875,1411100
4/4/2000,111.6875,6635600
4/5/2000,110.375,3339400
4/6/2000,111.4219,2279700
4/7/2000,110.9063,1027100
4/10/2000,112.0625,1833500
4/11/2000,113.25,3624800
4/12/2000,110.5156,3620700
4/13/2000,109.0313,4333100
4/14/2000,102.5156,4518600
4/17/2000,106,5978400
4/18/2000,107.0625,1576900
4/19/2000,106.8125,1536500
4/20/2000,108.7813,1886300
4/24/2000,108.875,1714200
4/25/2000,111.2813,2798800
4/26/2000,109,2051700
4/27/2000,108.375,1656700
4/28/2000,107.5625,1166000
5/1/2000,108.125,1385800
5/2/2000,107.0625,705000
5/3/2000,104.8125,2333500
5/4/2000,104.3125,1154900
5/5/2000,105.8438,1352100
5/8/2000,105.9375,665500
5/9/2000,105.375,1194600
5/10/2000,103.3125,1832600
5/11/2000,105.75,1342700
5/12/2000,106.25,999400
5/15/2000,108.2031,721400
5/16/2000,109.3125,1155300
5/17/2000,107.75,896000
5/18/2000,107.4375,931300
5/19/2000,106.5625,1394200
5/22/2000,105.5313,1233400
5/23/2000,104.4375,715700
5/24/2000,105.4375,1256700
5/25/2000,103.5,1199600
5/26/2000,103.125,918800
5/30/2000,105.4375,822500
5/31/2000,105.3125,476100
6/1/2000,106.5,791900
6/2/2000,107.5156,751000
6/5/2000,108.25,750600
6/6/2000,107.6406,392700
6/7/2000,108.3438,895300
6/8/2000,106.7813,847900
6/9/2000,106.2656,818500
6/12/2000,105.7188,429700
6/13/2000,106.5,954000
6/14/2000,107.25,614900
6/15/2000,106.8438,647700
6/16/2000,104.5156,3000700
6/19/2000,105.5938,930300
6/20/2000,104.75,1360800
6/21/2000,104.9375,599800
6/22/2000,104,888200
6/23/2000,104.4375,726800
6/26/2000,105.9688,1014800
6/27/2000,105.375,415600
6/28/2000,105.375,516900
6/29/2000,104.25,444300
6/30/2000,104.375,655200
7/3/2000,105.9688,267700
7/5/2000,105,785200
7/6/2000,105.0938,330700
7/7/2000,106.3281,634500
7/10/2000,106.5,387500
7/11/2000,107.25,1001400
7/12/2000,107.8125,977100
7/13/2000,108,1176200
7/14/2000,108.25,551300
7/17/2000,108,690600
7/18/2000,107.625,347600
7/19/2000,107.1875,764300
7/20/2000,109.0938,657900
7/21/2000,107,471000
7/24/2000,106.8125,414300
7/25/2000,106.7813,275600
7/26/2000,105.5,406500
7/27/2000,106.0313,804400
7/28/2000,105,523100
7/31/2000,105,352300
8/1/2000,106,385600
8/2/2000,107,724600
8/3/2000,106.9375,658400
8/4/2000,107.5,880100
8/7/2000,108.625,1176900
8/8/2000,109.6563,807200
8/9/2000,109.125,1227000
8/10/2000,109.2188,429800
8/11/2000,110.3438,1093800
8/14/2000,111.7188,1212700
8/15/2000,110.9375,1258400
8/16/2000,111.0625,1050000
8/17/2000,110.8438,590600
8/18/2000,110.4375,349000
8/21/2000,111.125,755100
8/22/2000,111.5469,1054000
8/23/2000,111.5,602900
8/24/2000,112.0313,408400
8/25/2000,112.2344,134900
8/28/2000,112.6875,531700
8/29/2000,112.5313,327200
8/30/2000,111.1563,357300
8/31/2000,112.4688,889600
9/1/2000,112.5313,302000
9/5/2000,112.8594,375700
9/6/2000,113.1875,715300
9/7/2000,112.7813,650600
9/8/2000,112.0938,419300
9/11/2000,112.125,765600
9/12/2000,112.9063,617600
9/13/2000,112.0625,353400
9/14/2000,111.0156,663000
9/15/2000,109,460400
9/18/2000,108.25,1033800
9/19/2000,107.9688,714100
9/20/2000,106.9375,3727200
9/21/2000,106.25,1943500
9/22/2000,108.75,1539300
9/25/2000,108.0938,552100
9/26/2000,106.1563,711500
9/27/2000,106.5156,612500
9/28/2000,108.3438,1042400
9/29/2000,106.625,780400
10/2/2000,107.0938,481400
10/3/2000,107.0313,2242400
10/4/2000,107.8906,1312100
10/5/2000,107.4688,652100
10/6/2000,106.1875,1306700
10/9/2000,105.7969,555100
10/10/2000,104.9063,565500
10/11/2000,104.4063,1241600
10/12/2000,100.375,2638900
10/13/2000,101.875,1456700
10/16/2000,102.7031,566400
10/17/2000,100.5938,906300
10/18/2000,99.7813,3011000
10/19/2000,101.8438,1539600
10/20/2000,102.375,1682500
10/23/2000,103.1406,866900
10/24/2000,103.4375,1545400
10/25/2000,102.8906,1586400
10/26/2000,103.6875,2010900
10/27/2000,106.1875,1576000
10/30/2000,108.1875,4240300
10/31/2000,109.4063,4993400
11/1/2000,109.1563,3410300
11/2/2000,108.6406,1556300
11/3/2000,108.2188,1663700
11/6/2000,110.0313,2280900
11/7/2000,109.75,1136900
11/8/2000,108.7656,1464300
11/9/2000,108.2188,3839200
11/10/2000,106.125,1602200
11/13/2000,105.4375,3009800
