Date,PX_LAST,PX_VOLUME
1/3/2000,145.4375,8164300
1/4/2000,139.75,8089800
1/5/2000,140,12177900
1/6/2000,137.75,6227200
1/7/2000,145.75,8066500
1/10/2000,146.25,5741700
1/11/2000,144.5,7503700
1/12/2000,143.0625,6907700
1/13/2000,145,5158300
1/14/2000,146.9688,7437300
1/18/2000,145.8125,6488500
1/19/2000,147,6157900
1/20/2000,144.75,5821500
1/21/2000,144.4375,6244800
1/24/2000,140.3438,7896900
1/25/2000,141.9375,9942500
1/26/2000,140.8125,5158100
1/27/2000,140.25,10922700
1/28/2000,135.875,11916200
1/31/2000,139.5625,10768700
2/1/2000,140.9375,8419900
2/2/2000,141.0625,6205900
2/3/2000,143.1875,7997500
2/4/2000,142.5938,4925400
2/7/2000,142.375,5846800
2/8/2000,144.3125,4936500
2/9/2000,141.2813,8511500
2/10/2000,141.5625,6690600
2/11/2000,138.6875,9849800
2/14/2000,139.5,8528800
2/15/2000,141.0938,11078300
2/16/2000,139,8845400
2/17/2000,138.2813,7584200
2/18/2000,135.3125,9409200
2/22/2000,134.9688,16415400
2/23/2000,136.5625,12119000
2/24/2000,133.8125,17375000
2/25/2000,133.3281,10559900
2/28/2000,136.125,13397800
2/29/2000,137.4375,8242500
3/1/2000,138.4375,6868000
3/2/2000,138.5313,7600200
3/3/2000,141.125,12770300
3/6/2000,139.75,11967100
3/7/2000,137.0469,20062000
3/8/2000,136.875,11808500
3/9/2000,140.875,5500900
3/10/2000,140.125,7924600
3/13/2000,138.5938,10540400
3/14/2000,136.625,8263900
3/15/2000,139.8125,10300800
3/16/2000,146.3438,25601400
3/17/2000,146.9375,10272900
3/20/2000,146.1875,12502300
3/21/2000,149.1875,13612600
3/22/2000,150.0938,8260000
3/23/2000,152.6563,11654500
3/24/2000,153.5625,11462900
3/27/2000,151.9375,8798600
3/28/2000,151.0625,6334400
3/29/2000,151.2188,6747500
3/30/2000,148.6875,9491900
3/31/2000,150.375,9249100
4/3/2000,151.25,8508200
4/4/2000,145.75,21060400
4/5/2000,149.1875,8227900
4/6/2000,150.4844,6378500
4/7/2000,151.4375,6023600
4/10/2000,150.8438,9624200
4/11/2000,150.4063,9006400
4/12/2000,146.2813,10779700
4/13/2000,144.25,12226800
4/14/2000,136,29604000
4/17/2000,140.75,23918200
4/18/2000,144.4688,11070700
4/19/2000,143.125,6553700
4/20/2000,143.8125,8537600
4/24/2000,142.25,12893100
4/25/2000,148.1563,14230300
4/26/2000,146.4844,7711100
4/27/2000,146,15595300
4/28/2000,145.0938,8743400
5/1/2000,147.0625,7328300
5/2/2000,144.125,9411900
5/3/2000,140.75,12630700
5/4/2000,141.8125,5963600
5/5/2000,143.5313,7862400
5/8/2000,142.4531,5064100
5/9/2000,141.3125,5620300
5/10/2000,138.125,10293900
5/11/2000,141.2813,7091100
5/12/2000,142.8125,5960800
5/15/2000,145.2813,4441300
5/16/2000,146.6875,8192200
5/17/2000,145.1563,5907200
5/18/2000,143.375,4325600
5/19/2000,141.125,6518400
5/22/2000,140.0625,10839400
5/23/2000,138,7979200
5/24/2000,140.25,11084500
5/25/2000,137.8438,8278900
5/26/2000,138,4814000
5/30/2000,142.5,5362700
5/31/2000,142.8125,6056500
