Date,AGG,TLT,IEF,LQD,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,EFA,EWJ,EWW,EWY,EZU
9/18/2017,109.860001,126.129997,107.269997,120.900002,56.380001,66.120003,25.059999,69.779999,58.790001,55.299999,54.189999,82.57,89.32,68.150002,55.25,55.91,69.839996,43.080002
9/19/2017,109.800003,125.82,107.150002,120.970001,56.669998,66.389999,25.25,69.849998,59.049999,55.130001,54.080002,81.919998,89.239998,68.470001,55.57,55.650002,70.07,43.290001
9/20/2017,109.709999,125.910004,106.940002,120.82,56.869999,66.839996,25.4,70.360001,58.810001,54.599998,53.68,82,89.540001,68.32,55.59,55.860001,69.699997,43.080002
9/21/2017,109.690002,125.839996,106.800003,120.82,56.75,66.860001,25.459999,70.57,58.490002,54.080002,53.669998,81.580002,89.389999,68.18,55.369999,55.73,69.690002,43.110001
9/22/2017,109.769997,126.199997,106.989998,120.980003,56.549999,67.199997,25.43,70.75,58.52,53.919998,53.23,81.580002,89.540001,68.389999,55.43,55.990002,69.330002,43.200001
9/25/2017,110.029999,126.989998,107.309998,121.43,56.650002,68.169998,25.4,70.75,57.830002,54.310001,53.720001,81.339996,89.349998,68,55.549999,55.59,68.879997,42.73
9/26/2017,109.989998,126.760002,107.220001,121.410004,56.400002,68.139999,25.389999,70.75,58.040001,54.439999,53.619999,81.209999,89.360001,67.849998,55.549999,55.41,68.699997,42.57
9/27/2017,109.669998,124.849998,106.669998,120.940002,56.400002,68.43,25.700001,70.830002,58.630001,54.02,52.900002,81.18,89.849998,67.900002,55.66,54.419998,68.150002,42.73
9/28/2017,109.68,124.480003,106.650002,121.120003,56.799999,68.489998,25.74,70.790001,58.700001,54.02,53.09,81.25,89.739998,68.080002,55.700001,54.439999,68.059998,42.900002
9/29/2017,109.589996,124.760002,106.519997,121.230003,56.799999,68.480003,25.860001,71,59.099998,53.98,53.049999,81.730003,90.080002,68.480003,55.709999,54.610001,69.059998,43.32
10/2/2017,109.43,124.279999,106.239998,121.019997,57.419998,68.459999,26.08,71.489998,59.189999,53.880001,53.139999,82.559998,90.25,68.419998,55.709999,54.669998,69.220001,43.189999
10/3/2017,109.519997,124.400002,106.389999,121.290001,57.66,68.389999,26.17,71.800003,59.330002,53.939999,52.990002,82.540001,90.629997,68.650002,56.040001,54.84,69.879997,43.32
10/4/2017,109.489998,124.410004,106.360001,121.220001,57.68,68.339996,26.049999,71.779999,59.290001,54.110001,53.52,82.940002,91.099998,68.519997,56.049999,54.639999,69.970001,43.099998
10/5/2017,109.440002,123.940002,106.25,121.050003,58.029999,68.650002,26.32,71.949997,59.860001,54.349998,53.470001,83,91.610001,68.480003,56.02,54,70.5,43.18
10/6/2017,109.279999,123.589996,106.120003,120.949997,57.900002,68.07,26.35,71.940002,59.950001,53.810001,53.43,82.889999,91.720001,68.43,55.990002,53.57,70.230003,43.18
10/9/2017,109.43,123.980003,106.239998,121.050003,57.889999,68.209999,26.25,71.739998,60.099998,53.66,53.5,82.370003,91.43,68.449997,56.060001,53.049999,70.18,43.16
10/10/2017,109.440002,124.18,106.279999,121.129997,57.93,68.269997,26.370001,71.849998,60.16,54.130001,54.02,82.559998,91.339996,69.099998,56.459999,52.59,71.07,43.549999
10/11/2017,109.459999,124.419998,106.400002,121.07,57.959999,68.43,26.32,71.809998,60.360001,54.240002,54.25,82.720001,91.389999,69.269997,56.75,52.93,71.779999,43.740002
10/12/2017,109.589996,124.949997,106.5,121.099998,58.07,68.18,26.120001,72.190002,60.209999,54.470001,54.529999,82.629997,90.779999,69.209999,56.68,52.439999,72.209999,43.610001
10/13/2017,109.860001,125.849998,106.860001,121.580002,58.349998,68.139999,26.129999,72.059998,60.5,54.57,54.150002,82.419998,91.220001,69.57,57.380001,52.119999,72.839996,43.599998
10/16/2017,109.75,125.760002,106.68,121.410004,58.310001,68.290001,26.299999,72.139999,60.720001,54.59,54.029999,82.059998,91.339996,69.519997,57.639999,51.48,72.360001,43.52
10/17/2017,109.709999,125.919998,106.639999,121.389999,58.16,68.330002,26.17,71.949997,60.720001,54.389999,54.349998,83.160004,91.389999,69.339996,57.580002,52.82,72.349998,43.459999
10/18/2017,109.540001,125.089996,106.370003,121.209999,58.02,67.849998,26.309999,71.980003,60.869999,54.32,54.25,83.279999,91.139999,69.540001,57.52,52.27,72.519997,43.669998
10/19/2017,109.620003,125.309998,106.480003,121.389999,58.240002,67.639999,26.33,72.18,60.689999,54.029999,54.82,83.790001,91.139999,69.43,57.389999,52.560001,72.029999,43.630001
10/20/2017,109.300003,123.980003,106.040001,121.059998,58.740002,67.769997,26.639999,72.959999,61.099998,53.900002,54.860001,83.879997,91.360001,69.339996,57.52,51.970001,72.580002,43.389999
10/23/2017,109.419998,124.199997,106.139999,121.18,58.630001,67.419998,26.620001,72.5,60.810001,53.860001,54.889999,83.669998,90.739998,69.190002,57.66,51.349998,72.360001,43.259998
10/24/2017,109.190002,123.43,105.82,120.879997,58.959999,67.550003,26.809999,72.910004,60.98,53.669998,54.939999,83.110001,90.959999,69.300003,58.139999,51.650002,72.720001,43.5
10/25/2017,109.120003,122.839996,105.650002,120.559998,58.650002,67.080002,26.65,72.190002,60.650002,53.52,54.700001,82.989998,90.610001,69.029999,57.669998,50.68,72.690002,43.459999
10/26/2017,109,122.43,105.510002,120.550003,59.43,67.220001,26.799999,72.290001,60.900002,53.560001,54.709999,82.160004,90.93,69.019997,57.98,50.23,72.349998,43.43
10/27/2017,109.239998,123.239998,105.849998,120.910004,59.119999,67.339996,26.780001,72.32,62.540001,53.099998,55.049999,82.139999,92.400002,69.18,58.419998,50.68,73.519997,43.34
10/30/2017,109.540001,124.419998,106.230003,121.309998,58.84,67.690002,26.67,71.82,62.68,52.650002,55.060001,81.260002,91.980003,69.339996,58.400002,50.150002,73.129997,43.599998
10/31/2017,109.470001,124.459999,106.160004,121.139999,59,67.910004,26.6,71.529999,62.950001,53.09,55.119999,81.110001,91.989998,69.629997,58.650002,50.330002,74.760002,43.830002
11/1/2017,109.290001,124.75,106.059998,121.010002,59.290001,68.68,26.639999,71.489998,62.959999,53.259998,54.810001,81.309998,92.019997,69.699997,58.98,50.080002,76.230003,43.939999
11/2/2017,109.349998,125.300003,106.199997,120.989998,58.860001,68.480003,26.889999,71.900002,62.990002,53.130001,55.009998,80.940002,91.330002,69.910004,59.049999,50.310001,75.870003,44.110001
11/3/2017,109.449997,125.639999,106.370003,121.129997,58.830002,68.68,26.780001,71.830002,63.490002,53.139999,55.209999,81.610001,91.699997,69.800003,59.189999,50.130001,75.790001,43.84
11/6/2017,109.550003,126.110001,106.5,121.160004,58.580002,70.25,26.75,71.870003,63.630001,52.57,55,81.360001,92.370003,69.900002,59.18,51.060001,75.919998,43.799999
11/7/2017,109.580002,126.639999,106.540001,121.059998,58.639999,70.160004,26.379999,71.980003,63.66,53.16,55.66,81.529999,91.82,69.639999,59.650002,50.75,74.980003,43.43
11/8/2017,109.510002,126.360001,106.410004,120.900002,58.700001,69.82,26.25,71.860001,64.010002,53.740002,55.700001,81.720001,91.919998,69.870003,60.02,50.66,75.779999,43.509998
11/9/2017,109.43,126,106.370003,120.580002,58.200001,70.029999,26.16,70.959999,63.5,53.73,55.77,81.730003,92.059998,69.470001,59.52,50.77,74.709999,43.18
11/10/2017,108.989998,124.099998,105.830002,119.889999,58.110001,69.660004,26.08,71.059998,63.5,54.279999,55.509998,81.199997,92.370003,69.279999,59.080002,49.75,74.410004,43.07
11/13/2017,108.989998,124.360001,105.779999,119.910004,58.41,69.260002,26.120001,70.82,63.48,54.59,56.169998,81.279999,92.68,68.989998,58.82,49.740002,74.230003,42.91
11/14/2017,109.099998,125.199997,105.93,119.940002,57.880001,68.139999,26.110001,70.629997,63.349998,54.779999,56.869999,80.949997,92.760002,68.940002,58.509998,49.400002,74.349998,43.099998
11/15/2017,109.309998,126.559998,106.309998,120.449997,57.529999,67.370003,26.18,70.230003,62.880001,54.200001,56.380001,80.720001,92.360001,68.610001,58.080002,49.16,74.800003,42.900002
11/16/2017,109.190002,125.459999,106.040001,120.309998,58.23,67.099998,26.190001,70.889999,63.759998,54.950001,56.200001,81.559998,93.129997,69.160004,58.98,49.779999,76.669998,43.220001
11/17/2017,109.309998,126.389999,106.18,120.459999,58.310001,67.43,26.16,70.5,63.349998,54.759998,55.810001,81.239998,93.540001,68.910004,58.689999,50.259998,76.220001,43
11/20/2017,109.25,126.339996,106.010002,120.459999,58.389999,67.269997,26.280001,70.82,63.59,54.700001,55.639999,80.900002,93.720001,69.059998,58.98,50,76.330002,42.970001
11/21/2017,109.360001,126.739998,106.029999,120.860001,58.700001,67.419998,26.360001,71.330002,64.260002,54.880001,55.790001,81.610001,94.300003,69.580002,59.52,51.029999,77.099998,43.220001
